Merger	Specie	Assembly	p50	p85	p99.99
gaa	MAUR	ABySS-CLC	 167 	144 	117
gaa	MAUR	ABySS-MIRA	 170 	165 	135
gaa	MAUR	CLC-ABySS	 169 	158 	131
gaa	MAUR	CLC-MIRA	 170 	165 	135
gaa	MAUR	MIRA-ABySS	 169 	158 	131
gaa	MAUR	MIRA-CLC	 167 	144 	117
gam-ngs	MAUR	ABySS-CLC	 170 	159 	131
gam-ngs	MAUR	ABySS-MIRA	 170 	159 	131
gam-ngs	MAUR	CLC-ABySS	 167 	144 	117
gam-ngs	MAUR	CLC-MIRA	 167 	144 	117
gam-ngs	MAUR	MIRA-ABySS	 170 	165 	135
gam-ngs	MAUR	MIRA-CLC	 170 	165 	135
mix	MAUR	AB_CLC_mix	 168 	148 	124
mix	MAUR	AB_MIRA_mix	 170 	165 	135
mix	MAUR	CLC_MIRA_mix	 170 	165 	134
single-assemblies	MAUR	ABySS	 170 	159 	131
single-assemblies	MAUR	CLC	 167 	144 	117
single-assemblies	MAUR	MIRA	 170 	165 	135
gaa	MBOVb	ABySS-CLC	 170 	157 	127
gaa	MBOVb	ABySS-MIRA	 170 	161 	133
gaa	MBOVb	CLC-ABySS	 170 	159 	130
gaa	MBOVb	CLC-MIRA	 170 	161 	133
gaa	MBOVb	MIRA-ABySS	 170 	159 	130
gaa	MBOVb	MIRA-CLC	 170 	157 	127
gam-ngs	MBOVb	ABySS-CLC	 170 	159 	130
gam-ngs	MBOVb	ABySS-MIRA	 170 	159 	130
gam-ngs	MBOVb	CLC-ABySS	 170 	157 	127
gam-ngs	MBOVb	CLC-MIRA	 170 	157 	127
gam-ngs	MBOVb	MIRA-ABySS	 170 	161 	133
gam-ngs	MBOVb	MIRA-CLC	 170 	161 	133
mix	MBOVb	AB_CLC_mix	 170 	158 	129
mix	MBOVb	AB_MIRA_mix	 170 	161 	133
mix	MBOVb	CLC_MIRA_mix	 170 	161 	133
single-assemblies	MBOVb	ABySS	 170 	159 	130
single-assemblies	MBOVb	CLC	 170 	157 	127
single-assemblies	MBOVb	MIRA	 170 	161 	133
gaa	MBVG	ABySS-CLC	 169 	158 	126
gaa	MBVG	ABySS-MIRA	 129 	115 	86
gaa	MBVG	CLC-ABySS	 169 	161 	128
