Merger	Specie	Assembly	p50	p85	p99.99
gaa	MAUR	ABySS-CLC	 155 	137 	112
gaa	MAUR	ABySS-MIRA	 156 	153 	128
gaa	MAUR	CLC-ABySS	 157 	148 	125
gaa	MAUR	CLC-MIRA	 156 	153 	128
gaa	MAUR	MIRA-ABySS	 157 	148 	125
gaa	MAUR	MIRA-CLC	 155 	137 	112
gam-ngs	MAUR	ABySS-CLC	 158 	149 	125
gam-ngs	MAUR	ABySS-MIRA	 158 	149 	125
gam-ngs	MAUR	CLC-ABySS	 155 	137 	112
gam-ngs	MAUR	CLC-MIRA	 155 	137 	112
gam-ngs	MAUR	MIRA-ABySS	 156 	153 	128
gam-ngs	MAUR	MIRA-CLC	 156 	153 	128
mix	MAUR	AB_CLC_mix	 157 	141 	118
mix	MAUR	AB_MIRA_mix	 156 	153 	128
mix	MAUR	CLC_MIRA_mix	 156 	153 	127
single-assemblies	MAUR	ABySS	 158 	149 	125
single-assemblies	MAUR	CLC	 155 	137 	112
single-assemblies	MAUR	MIRA	 156 	153 	128
gaa	MBOVb	ABySS-CLC	 156 	145 	121
gaa	MBOVb	ABySS-MIRA	 154 	148 	126
gaa	MBOVb	CLC-ABySS	 154 	146 	124
gaa	MBOVb	CLC-MIRA	 154 	148 	126
gaa	MBOVb	MIRA-ABySS	 154 	146 	124
gaa	MBOVb	MIRA-CLC	 156 	145 	121
gam-ngs	MBOVb	ABySS-CLC	 154 	146 	124
gam-ngs	MBOVb	ABySS-MIRA	 154 	146 	124
gam-ngs	MBOVb	CLC-ABySS	 156 	145 	121
gam-ngs	MBOVb	CLC-MIRA	 156 	145 	121
gam-ngs	MBOVb	MIRA-ABySS	 154 	148 	126
gam-ngs	MBOVb	MIRA-CLC	 154 	148 	126
mix	MBOVb	AB_CLC_mix	 154 	145 	123
mix	MBOVb	AB_MIRA_mix	 154 	148 	126
mix	MBOVb	CLC_MIRA_mix	 154 	148 	126
single-assemblies	MBOVb	ABySS	 154 	146 	124
single-assemblies	MBOVb	CLC	 156 	145 	121
single-assemblies	MBOVb	MIRA	 154 	148 	126
gaa	MBVG	ABySS-CLC	 149 	144 	117
gaa	MBVG	ABySS-MIRA	 105 	102 	78
gaa	MBVG	CLC-ABySS	 148 	146 	119
gaa	MBVG	CLC-MIRA	 105 	102 	78
gaa	MBVG	MIRA-ABySS	 148 	146 	119
gaa	MBVG	MIRA-CLC	 149 	144 	117
gam-ngs	MBVG	ABySS-CLC	 148 	146 	119
gam-ngs	MBVG	ABySS-MIRA	 148 	146 	119
gam-ngs	MBVG	CLC-ABySS	 149 	144 	117
gam-ngs	MBVG	CLC-MIRA	 149 	144 	117
gam-ngs	MBVG	MIRA-ABySS	 105 	102 	78
gam-ngs	MBVG	MIRA-CLC	 105 	102 	78
mix	MBVG	AB_CLC_mix	 148 	146 	119
mix	MBVG	AB_MIRA_mix	 139 	136 	108
mix	MBVG	CLC_MIRA_mix	 115 	112 	87
single-assemblies	MBVG	ABySS	 148 	146 	119
single-assemblies	MBVG	CLC	 149 	144 	117
single-assemblies	MBVG	MIRA	 105 	102 	78
gaa	MCCP	ABySS-CLC	 157 	145 	126
gaa	MCCP	ABySS-MIRA	 156 	143 	128
gaa	MCCP	CLC-ABySS	 157 	151 	134
gaa	MCCP	CLC-MIRA	 156 	143 	128
gaa	MCCP	MIRA-ABySS	 157 	151 	134
gaa	MCCP	MIRA-CLC	 157 	145 	126
gam-ngs	MCCP	ABySS-CLC	 157 	151 	134
gam-ngs	MCCP	ABySS-MIRA	 157 	151 	134
gam-ngs	MCCP	CLC-ABySS	 157 	146 	127
gam-ngs	MCCP	CLC-MIRA	 157 	146 	127
gam-ngs	MCCP	MIRA-ABySS	 157 	144 	128
gam-ngs	MCCP	MIRA-CLC	 157 	144 	128
mix	MCCP	AB_CLC_mix	 157 	146 	128
mix	MCCP	AB_MIRA_mix	 157 	150 	132
mix	MCCP	CLC_MIRA_mix	 157 	144 	125
single-assemblies	MCCP	ABySS	 157 	151 	134
single-assemblies	MCCP	CLC	 157 	146 	127
single-assemblies	MCCP	MIRA	 157 	144 	128
gaa	MMC	ABySS-CLC	 134 	78 	56
gaa	MMC	ABySS-MIRA	 155 	149 	132
gaa	MMC	CLC-ABySS	 156 	150 	134
gaa	MMC	CLC-MIRA	 155 	149 	132
gaa	MMC	MIRA-ABySS	 156 	150 	134
gaa	MMC	MIRA-CLC	 134 	78 	56
gam-ngs	ABySS-CLC	 156 	150 	134
gam-ngs	MMC	ABySS-CLC	 156 	150 	134
gam-ngs	MMC	ABySS-MIRA	 156 	150 	134
gam-ngs	MMC	CLC-ABySS	 136 	79 	57
gam-ngs	MMC	CLC-MIRA	 136 	79 	57
gam-ngs	MMC	MIRA-ABySS	 155 	149 	132
gam-ngs	MMC	MIRA-CLC	 155 	149 	132
mix	MMC	AB_CLC_mix	 156 	149 	132
mix	MMC	AB_MIRA_mix	 155 	149 	133
mix	MMC	CLC_MIRA_mix	 154 	147 	129
single-assemblies	MMC	ABySS	 156 	150 	134
single-assemblies	MMC	CLC	 136 	79 	57
single-assemblies	MMC	MIRA	 155 	149 	132
gaa	MOVI	ABySS-CLC	 154 	142 	121
gaa	MOVI	ABySS-MIRA	 154 	147 	126
gaa	MOVI	CLC-ABySS	 154 	148 	126
gaa	MOVI	CLC-MIRA	 154 	147 	126
gaa	MOVI	MIRA-ABySS	 154 	148 	126
gaa	MOVI	MIRA-CLC	 154 	142 	121
gam-ngs	MOVI	ABySS-CLC	 154 	148 	126
gam-ngs	MOVI	ABySS-MIRA	 154 	149 	126
gam-ngs	MOVI	CLC-ABySS	 154 	142 	121
gam-ngs	MOVI	CLC-MIRA	 154 	142 	121
gam-ngs	MOVI	MIRA-ABySS	 154 	147 	126
gam-ngs	MOVI	MIRA-CLC	 154 	147 	126
mix	MOVI	AB_CLC_mix	 154 	142 	121
mix	MOVI	AB_MIRA_mix	 154 	147 	127
mix	MOVI	CLC_MIRA_mix	 154 	147 	126
single-assemblies	MOVI	ABySS	 154 	148 	126
single-assemblies	MOVI	CLC	 154 	142 	121
single-assemblies	MOVI	MIRA	 154 	147 	126
gaa	MSCb	ABySS-CLC	 154 	123 	100
gaa	MSCb	ABySS-MIRA	 157 	150 	130
gaa	MSCb	CLC-ABySS	 158 	148 	127
gaa	MSCb	CLC-MIRA	 157 	150 	130
gaa	MSCb	MIRA-ABySS	 158 	148 	127
gaa	MSCb	MIRA-CLC	 154 	123 	100
gam-ngs	MSCb	ABySS-CLC	 157 	147 	128
gam-ngs	MSCb	ABySS-MIRA	 157 	147 	128
gam-ngs	MSCb	CLC-ABySS	 154 	123 	100
gam-ngs	MSCb	CLC-MIRA	 154 	123 	100
gam-ngs	MSCb	MIRA-ABySS	 157 	150 	130
gam-ngs	MSCb	MIRA-CLC	 157 	150 	130
mix	MSCb	AB_CLC_mix	 157 	141 	116
mix	MSCb	AB_MIRA_mix	 158 	151 	131
mix	MSCb	CLC_MIRA_mix	 158 	150 	129
single-assemblies	MSCb	ABySS	 157 	147 	128
single-assemblies	MSCb	CLC	 154 	123 	100
single-assemblies	MSCb	MIRA	 157 	150 	130
gaa	MSCc	ABySS-AIZ_CLC	 150 	113 	91
gaa	MSCc	ABySS-AIZ_MIRA	 157 	152 	134
gaa	MSCc	CLC-AIZ_ABySS	 157 	147 	124
gaa	MSCc	CLC-AIZ_MIRA	 157 	152 	134
gaa	MSCc	MIRA-AIZ_ABySS	 157 	147 	124
gaa	MSCc	MIRA-AIZ_CLC	 150 	113 	91
gam-ngs	MSCc	ABySS-CLC	 157 	147 	125
gam-ngs	MSCc	ABySS-MIRA	 157 	147 	125
gam-ngs	MSCc	CLC-ABySS	 156 	116 	93
gam-ngs	MSCc	CLC-MIRA	 156 	116 	93
gam-ngs	MSCc	MIRA-ABySS	 157 	152 	134
gam-ngs	MSCc	MIRA-CLC	 157 	152 	134
mix	MSCc	AB_CLC_mix	 158 	128 	105
mix	MSCc	AB_MIRA_mix	 157 	152 	134
mix	MSCc	CLC_MIRA_mix	 157 	151 	133
single-assemblies	MSCc	ABySS	 157 	147 	125
single-assemblies	MSCc	CLC	 156 	116 	93
single-assemblies	MSCc	MIRA	 157 	152 	134
gaa	MSCd	ABySS-CLC	 156 	140 	122
gaa	MSCd	ABySS-MIRA	 154 	140 	120
gaa	MSCd	CLC-ABySS	 157 	149 	132
gaa	MSCd	CLC-MIRA	 154 	140 	120
gaa	MSCd	MIRA-ABySS	 157 	149 	132
gaa	MSCd	MIRA-CLC	 156 	140 	122
gam-ngs	MSCd	ABySS-CLC	 157 	149 	132
gam-ngs	MSCd	ABySS-MIRA	 157 	149 	132
gam-ngs	MSCd	CLC-ABySS	 156 	140 	122
gam-ngs	MSCd	CLC-MIRA	 156 	140 	122
gam-ngs	MSCd	MIRA-ABySS	 158 	144 	124
gam-ngs	MSCd	MIRA-CLC	 158 	144 	124
mix	MSCd	AB_CLC_mix	 156 	140 	122
mix	MSCd	AB_MIRA_mix	 156 	149 	130
mix	MSCd	CLC_MIRA_mix	 156 	141 	124
single-assemblies	MSCd	ABySS	 157 	149 	132
single-assemblies	MSCd	CLC	 156 	140 	122
single-assemblies	MSCd	MIRA	 154 	140 	120
gaa	MSCe	ABySS-CLC	 156 	150 	132
gaa	MSCe	ABySS-MIRA	 156 	149 	131
gaa	MSCe	CLC-ABySS	 157 	149 	133
gaa	MSCe	CLC-MIRA	 156 	149 	131
gaa	MSCe	MIRA-ABySS	 157 	149 	133
gaa	MSCe	MIRA-CLC	 156 	150 	132
gam-ngs	MSCe	ABySS-CLC	 157 	149 	133
gam-ngs	MSCe	ABySS-MIRA	 157 	149 	133
gam-ngs	MSCe	CLC-ABySS	 156 	150 	132
gam-ngs	MSCe	CLC-MIRA	 156 	150 	132
gam-ngs	MSCe	MIRA-ABySS	 156 	149 	131
gam-ngs	MSCe	MIRA-CLC	 156 	149 	131
mix	MSCe	AB_CLC_mix	 156 	150 	133
mix	MSCe	AB_MIRA_mix	 156 	150 	134
mix	MSCe	CLC_MIRA_mix	 156 	150 	132
single-assemblies	MSCe	ABySS	 157 	149 	133
single-assemblies	MSCe	CLC	 156 	150 	132
single-assemblies	MSCe	MIRA	 156 	149 	131	
