All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        AIM_ABySS_27-scaffolds  AIM_CLC_contigsCLCTrimmed_0  AIM_step2_out.unpadded  GAM_abyss-CLC  GAM_CLC-mira  GAM_mira-abyss  MAUR_AB_CLC_mix  MAUR_AB_MIRA_mix  MAUR_CLC_MIRA_mix  MAUR_CLC_naive_concatenation
# contigs (>= 0 bp)             331                     77                           53                      330            77            53              49               19                14                 1                           
# contigs (>= 1000 bp)          90                      60                           27                      89             60            27              37               16                11                 1                           
Total length (>= 0 bp)          775094                  768253                       792326                  776632         768253        792326          768367           799107            773404             768253                      
Total length (>= 1000 bp)       734197                  761119                       782503                  735735         761119        782503          762458           798158            772455             768253                      
# contigs                       145                     77                           47                      144            77            47              49               18                13                 1                           
Largest contig                  64134                   54845                        125115                  64134          54845         125115          100829           158176            158176             768253                      
Total length                    763752                  768253                       791560                  765290         768253        791560          768367           799065            773362             768253                      
GC (%)                          27.21                   27.23                        27.31                   27.21          27.23         27.31           27.22            27.25             27.24              27.23                       
N50                             14852                   21006                        64336                   14852          21006         64336           36024            98132             94467              768253                      
N75                             7098                    11838                        40538                   7098           11838         40538           23994            74852             73254              768253                      
# N's per 100 kbp               0.00                    18.48                        0.88                    0.00           18.48         0.88            11.97            0.88              0.78               18.48                       
# predicted genes (unique)      1303                    1314                         1307                    1306           1314          1307            1304             1285              1286               1302                        
# predicted genes (>= 0 bp)     1303                    1314                         1312                    1307           1314          1312            1304             1325              1286               1302                        
# predicted genes (>= 100 bp)   1268                    1284                         1284                    1272           1284          1284            1276             1296              1257               1273                        
# predicted genes (>= 300 bp)   663                     649                          679                     665            649           679             655              693               670                648                         
# predicted genes (>= 500 bp)   340                     315                          347                     340            315           347             320              359               340                313                         
# predicted genes (>= 1000 bp)  55                      51                           55                      55             51            55              52               56                55                 51                          
# predicted genes (>= 1500 bp)  9                       7                            10                      9              7             10              8                9                 9                  7                           
# predicted genes (>= 3000 bp)  0                       0                            0                       0              0             0               0                0                 0                  0                           
