All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        AIQ_ABySS_34-scaffolds  AIQ_CLC_contigsCLCTrimmed_0  AIQ_step2_out.unpadded  GAM_abyss-CLC  GAM_CLC-mira  GAM_mira-abyss  MBOVb_AB_CLC_mix  MBOVb_AB_MIRA_mix  MBOVb_CLC_MIRA_mix  MBOVb_CLC_naive_concatenation
# contigs (>= 0 bp)             1056                    172                          144                     1054           169           144             422               48                 48                  1                            
# contigs (>= 1000 bp)          89                      105                          64                      88             102           64              84                45                 45                  1                            
Total length (>= 0 bp)          964397                  920416                       1045151                 965268         925457        1045151         933433            977494             980987              920416                       
Total length (>= 1000 bp)       877135                  889522                       1006884                 878039         894563        1006884         883279            976551             980044              920416                       
# contigs                       163                     172                          133                     163            169           133             142               47                 47                  1                            
Largest contig                  57902                   40661                        87700                   57902          47454         87700           58067             87700              87700               920416                       
Total length                    911199                  920416                       1043548                 912373         925457        1043548         911097            977462             980955              920416                       
GC (%)                          29.30                   29.36                        29.31                   29.29          29.35         29.31           29.31             29.21              29.20               29.36                        
N50                             19958                   13126                        44264                   19958          14195         44264           19958             45698              45698               920416                       
N75                             8776                    7143                         17268                   8776           7454          17268           10504             21650              21163               920416                       
# N's per 100 kbp               1505.60                 29.23                        4.50                    1503.66        29.07         4.50            1505.77           2.76               2.45                29.23                        
# predicted genes (unique)      1502                    1547                         1671                    1503           1553          1671            1501              1574               1572                1506                         
# predicted genes (>= 0 bp)     1502                    1548                         1717                    1503           1554          1717            1501              1593               1596                1507                         
# predicted genes (>= 300 bp)   768                     779                          873                     768            783           873             769               828                830                 783                          
# predicted genes (>= 1500 bp)  21                      18                           22                      21             18            22              21                22                 22                  18                           
# predicted genes (>= 3000 bp)  0                       0                            0                       0              0             0               0                 0                  0                   0                            
