All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                        MSCe_ABySS_35  MSCe_CLC  MSCe_MIRA  MSCe_ABySS-CLC_gam  MSCe_CLC-mira_gam  MSCe_mira-ABySS_gam  MSCe_AB_CLC_mix  MSCe_AB_MIRA_mix  MSCe_CLC_MIRA_mix
# contigs (>= 0 bp)             2063           127       378        2060                126                373                  120              111               106              
# contigs (>= 1000 bp)          124            92        158        122                 91                 155                  89               92                79               
Total length (>= 0 bp)          1063044        978595    1185301    1066616             980257             1187151              977031           1076350           998406           
Total length (>= 1000 bp)       915938         962700    1082929    920431              964362             1086600              962402           1064523           984799           
# contigs                       214            127       335        211                 126                330                  120              109               106              
Largest contig                  53893          120905    32920      53893               120905             32920                120905           109461            125610           
Total length                    959360         978595    1178847    962932              980257             1180697              977031           1076156           998406           
GC (%)                          23.61          23.66     23.99      23.62               23.66              23.97                23.66            23.78             23.68            
N50                             14161          21614     10787      14161               21614              11004                21734            22451             22683            
N75                             5626           9134      5207       5939                9134               5304                 9134             9857              10842            
# N's per 100 kbp               0.00           14.71     5.34       0.00                14.69              5.34                 14.74            2.51              14.82            
# predicted genes (unique)      1572           1568      1904       1574                1567               1901                 1562             1692              1587             
# predicted genes (>= 0 bp)     1572           1569      1995       1575                1568               1996                 1562             1741              1599             
# predicted genes (>= 100 bp)   1531           1533      1935       1535                1532               1937                 1527             1700              1560             
# predicted genes (>= 300 bp)   718            713       802        720                 714                804                  713              755               721              
# predicted genes (>= 500 bp)   341            344       368        342                 346                369                  344              357               345              
# predicted genes (>= 1000 bp)  60             65        64         60                  66                 64                   65               64                64               
# predicted genes (>= 1500 bp)  13             16        16         13                  16                 16                   16               15                16               
# predicted genes (>= 3000 bp)  0              0         0          0                   0                  0                    0                0                 0                
