All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    # misassemblies  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes         Largest alignment  NA50   NGA50  NA75   NGA75
aureus_MS_SPD_mix          28                   26                      2825669                 2824874                    28         558082          2825669       2903081           32.80   32.73             246762  246762  174868  174868  80               79                     5 + 2 part           39382                     90.313               1.064              0.28               886.40                    65.76                 2472 + 52 part  187458             68736  68736  36523  34865
aureus_MS_SOAP_mix         32                   29                      2833062                 2831285                    32         449789          2833062       2903081           32.80   32.73             228674  228674  174868  174868  78               80                     5 + 2 part           39382                     90.378               1.067              0.00               889.23                    55.53                 2472 + 53 part  187458             70865  70865  37339  34865
aureus_SPD_SOAP_mix        54                   33                      2874755                 2868284                    53         350174          2874659       2903081           32.68   32.73             220323  220323  122608  122608  88               82                     25 + 3 part          30118                     90.411               1.085              1.29               870.05                    52.85                 2476 + 51 part  187456             70865  70865  34865  34865
aureus_MS_SPD_SOAP_mix     28                   26                      2893290                 2892495                    28         575483          2893290       2903081           32.67   32.73             246762  246762  174868  174868  96               81                     5 + 2 part           39382                     90.536               1.088              0.28               890.83                    67.72                 2481 + 52 part  187458             68736  68736  34865  34865
aureus_MI_MS_mix           27                   26                      2830704                 2830275                    27         454417          2830704       2903081           32.82   32.73             221821  221821  175306  175306  75               81                     3 + 2 part           38859                     90.321               1.066              0.14               886.66                    58.85                 2471 + 50 part  187458             70865  70865  37339  34865
aureus_MI_SOAP_mix         109                  51                      2857104                 2834998                    108        379101          2857069       2903081           32.76   32.73             155512  154220  89249   50093   96               79                     64 + 8 part          80463                     90.585               1.058              2.14               870.09                    63.21                 2476 + 57 part  187515             49189  49189  31356  30431
aureus_MI_SOAP_SPD_MS_mix  50                   28                      2880943                 2873500                    49         558082          2880847       2903081           32.68   32.73             242094  242094  156168  156168  91               84                     24 + 3 part          27766                     90.466               1.088              0.97               877.78                    50.84                 2449 + 53 part  187456             68736  68736  34865  34865
soap_ctg                   278                  48                      2856225                 2820329                    70         364183          2828161       2903081           32.70   32.73             146332  146332  92436   53313   71               82                     18 + 9 part          70851                     90.069               1.055              0.00               864.29                    54.12                 2453 + 54 part  187397             79978  79978  33715  32354
msrca_ctg                  52                   35                      2896852                 2889489                    52         449789          2896852       2903081           32.86   32.73             221821  221821  123428  123428  77               80                     7 + 15 part          94305                     90.436               1.068              0.00               889.08                    59.20                 2473 + 57 part  187458             70865  70865  34865  34865
mira_ctg                   256                  68                      2890706                 2825994                    209        379101          2884172       2903081           32.80   32.73             132448  132448  50006   50006   86               82                     115 + 18 part        113476                    90.560               1.055              4.02               866.68                    60.64                 2472 + 64 part  187515             49345  49345  31356  31356
spades_ctg                 72                   40                      2861974                 2851518                    68         350174          2861578       2903081           32.79   32.73             187080  187080  105739  105739  81               84                     27 + 6 part          33715                     90.561               1.074              1.99               869.14                    53.56                 2477 + 53 part  187456             70865  70865  35824  34865
GAM_mira-msrca             249                  65                      2889431                 2826619                    202        379101          2882897       2903081           32.80   32.73             146765  146765  50006   50006   89               80                     115 + 16 part        108902                    90.547               1.057              3.92               870.14                    60.38                 2472 + 63 part  187515             49345  49345  31356  31356
GAM_msrca-soap             45                   33                      2965254                 2959943                    45         449789          2965254       2903081           32.85   32.73             244336  244336  123428  175306  79               81                     5 + 12 part          91729                     90.436               1.096              0.00               888.77                    54.17                 2474 + 56 part  187458             64503  70865  34480  34865
GAM_msrca-spades           47                   30                      2871584                 2864221                    47         449789          2871584       2903081           32.84   32.73             244336  244336  175306  175306  79               80                     6 + 12 part          39456                     90.436               1.080              0.00               887.17                    60.72                 2473 + 57 part  187458             70865  70865  36523  34865
GAM_spades-soap            66                   36                      2861410                 2852298                    62         365651          2861014       2903081           32.79   32.73             241916  220323  158229  122608  82               83                     26 + 4 part          28562                     90.557               1.076              1.89               870.05                    53.37                 2479 + 51 part  187456             70865  70865  35824  34865
GAM_soap-mira              168                  39                      2847209                 2825856                    60         364183          2833223       2903081           32.73   32.73             176562  176562  122707  122707  73               81                     13 + 9 part          36221                     90.235               1.067              0.14               868.39                    67.81                 2464 + 55 part  187397             70865  70865  34865  33070
