All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    # misassemblies  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes         Largest alignment  NA50    NGA50   NA75    NGA75 
b_cereus_AB_SP_mix           74                   55                      5578767                 5572523                    69         700546          5577901       5432652           35.34   35.50             380728  380728  97012   109520  7                23                     1 + 0 part           2316                      98.367               1.047              10.95              10.42                     3.07                  5842 + 48 part  700543             246346  246346  83026   97012 
b_cereus_AB_MS_mix           40                   39                      5830760                 5830445                    40         952292          5830760       5432652           35.35   35.50             412808  429164  218425  224103  23               15                     0 + 0 part           0                         98.995               1.088              16.57              9.35                      3.85                  5949 + 41 part  766822             218425  246697  170645  183533
b_cereus_MS_SP_mix           42                   38                      5401116                 5399412                    42         1157774         5401116       5432652           35.36   35.50             487570  487570  183530  183530  7                15                     0 + 0 part           0                         98.934               1.008              0.00               11.16                     3.72                  5930 + 39 part  1157128            487570  487570  183530  183530
b_cereus_AB_MS_SP_mix        32                   31                      6150841                 6150526                    32         1364844         6150841       5432652           35.38   35.50             574929  574929  209762  282385  21               21                     0 + 0 part           0                         98.944               1.150              21.54              12.33                     3.89                  5925 + 40 part  1157128            246697  485913  132487  184702
b_cereus_MS_SOAP_mix         42                   38                      5401116                 5399412                    42         1157774         5401116       5432652           35.36   35.50             487570  487570  183530  183530  7                15                     0 + 0 part           0                         98.934               1.008              0.00               11.16                     3.72                  5930 + 39 part  1157128            487570  487570  183530  183530
b_cereus_CBG_SOAP_mix        58                   46                      5346678                 5343369                    54         735341          5346012       5432652           35.31   35.50             380728  380728  156953  156953  8                21                     1 + 0 part           2316                      98.420               1.003              0.00               10.25                     3.61                  5860 + 40 part  606357             288209  288209  109524  109524
b_cereus_MS_CBG_SOAP_mix     32                   31                      5511328                 5510607                    32         1192768         5511328       5432652           35.33   35.50             487570  487570  246697  246697  17               14                     0 + 0 part           0                         98.106               1.035              0.00               11.16                     2.80                  5884 + 41 part  1192122            487570  487570  170659  170659
b_cereus_MI_MS_mix           33                   33                      5457048                 5457048                    33         1024103         5457048       5432652           35.38   35.50             412808  412808  209762  209762  12               8                      0 + 0 part           0                         98.748               1.021              0.64               7.20                      3.19                  5925 + 36 part  768873             264980  264980  177353  177353
b_cereus_MI_SOAP_mix         50                   44                      5578137                 5576231                    48         636045          5577818       5432652           35.33   35.50             493841  493841  198745  207173  12               21                     1 + 0 part           2316                      98.493               1.046              0.38               10.84                     2.78                  5863 + 40 part  607372             266505  266505  90985   99331 
b_cereus_MI_SOAP_CBG_MS_mix  27                   27                      6095749                 6095749                    27         1457618         6095749       5432652           35.36   35.50             589905  607401  246697  301481  21               13                     0 + 0 part           0                         98.865               1.140              0.51               9.77                      2.25                  5921 + 40 part  1157128            250123  487570  111346  206583
