All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    # misassemblies  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75 
rhodo_MS_SOAP_mix      77                   68                      4467715                 4462469                    77         460609          4467715       4603060           68.86   68.79             196511  196511  114520  104542  12               7                      0 + 1 part           29                        96.596               1.005              0.00               81.33                     6.66                  4182 + 57 part   460609             196511  196511  114352  104542
rhodo_MI_MS_mix        78                   72                      4472338                 4468897                    78         460231          4472338       4603060           68.86   68.79             198324  198324  102273  79865   7                8                      0 + 2 part           77                        96.722               1.004              0.42               80.66                     6.09                  4194 + 52 part   460231             198316  198316  102004  79858 
rhodo_MI_SOAP_mix      637                  229                     4612264                 4455394                    594        145183          4604986       4603060           68.81   68.79             43300   43300   21528   21528   151              20                     0 + 7 part           465                       98.760               1.014              4.10               23.01                     14.23                 3949 + 388 part  98530              26002   26002   11949   12032 
rhodo_CBG_SOAP_mix     275                  271                     4297329                 4295086                    274        86522           4297209       4603060           68.94   68.79             28698   26970   15946   12343   147              14                     0 + 1 part           34                        92.157               1.014              0.00               27.68                     15.65                 3697 + 373 part  72325              17978   16647   9524    8016  
rhodo_MS_MI_SOAP_mix   89                   78                      4515880                 4508296                    89         460609          4515880       4603060           68.84   68.79             198324  198324  114350  104542  25               10                     0 + 1 part           29                        96.924               1.012              0.49               81.86                     6.23                  4187 + 73 part   460609             198316  198316  102004  83798 
rhodo_MS_CBG_SOAP_mix  71                   65                      4339071                 4335672                    71         746081          4339071       4603060           68.86   68.79             215267  198493  114520  103447  19               5                      0 + 1 part           29                        92.658               1.018              0.00               81.80                     6.31                  4026 + 60 part   397888             198316  176783  104542  83791 
rhodo_MS_SPD_mix       69                   63                      4462914                 4458987                    69         460609          4462914       4603060           68.85   68.79             230139  222851  131520  128023  15               6                      0 + 1 part           29                        96.795               1.002              1.81               69.35                     5.84                  4200 + 50 part   460609             200885  200885  128023  128023
soap_ctg               7436                 613                     5220141                 4360313                    859        45522           4487957       4603060           68.87   68.79             10993   10600   5774    5310    3                10                     1 + 11 part          1125                      97.134               1.003              0.00               28.38                     10.74                 3655 + 674 part  45511              10906   10512   5702    5304  
msrca_ctg              130                  89                      4489204                 4468382                    130        358962          4489204       4603060           68.86   68.79             176783  176783  76502   69776   5                5                      0 + 3 part           49                        97.031               1.005              0.00               74.83                     5.28                  4195 + 62 part   358962             176783  176783  76502   69769 
mira_ctg               1581                 446                     4725855                 4355336                    1228       110511          4675875       4603060           68.75   68.79             17528   17743   8196    8354    10               7                      1 + 7 part           1220                      99.058               1.022              7.14               22.46                     5.81                  3814 + 530 part  110511             17328   17656   8112    8287  
cabog_ctg              539                  531                     4216057                 4212622                    537        41321           4215836       4603060           68.95   68.79             12421   11358   7179    5447    4                3                      0 + 10 part          360                       90.840               1.009              0.00               23.05                     4.97                  3530 + 511 part  41321              12360   11217   7179    5447  
spades_ctg             350                  134                     4670077                 4607692                    298        291333          4664700       4603060           68.68   68.79             74486   83463   47310   47313   8                5                      107 + 0 part         25816                     99.184               1.018              16.21              8.50                      4.01                  4244 + 104 part  291332             74016   83460   42137   42417 
GAM_mira-msrca         1581                 446                     4725855                 4355336                    1228       110511          4675875       4603060           68.75   68.79             17528   17743   8196    8354    10               7                      1 + 7 part           1220                      99.058               1.022              7.14               22.46                     5.81                  3814 + 530 part  110511             17328   17656   8112    8287  
GAM_msrca-soap         104                  73                      4483263                 4468349                    104        460229          4483263       4603060           68.86   68.79             198324  196511  114347  104542  5                5                      0 + 4 part           1504                      97.005               1.004              0.00               79.19                     6.34                  4202 + 53 part   460229             198316  196511  114179  104542
GAM_soap-msrca         6090                 193                     5174526                 4474396                    304        460154          4530986       4603060           68.87   68.79             119209  119209  26464   26095   6                7                      0 + 3 part           1395                      98.354               1.002              0.00               57.81                     8.31                  4116 + 225 part  460149             119209  119209  26334   26095 
GAM_mira-soap          623                  228                     4638200                 4529923                    424        145129          4613187       4603060           68.83   68.79             44280   44280   23254   23626   11               18                     1 + 4 part           1091                      99.131               1.013              5.14               30.07                     9.97                  4135 + 210 part  145129             44280   44280   23254   23626 
GAM_msrca-spades       107                  69                      4486317                 4467830                    107        460229          4486317       4603060           68.86   68.79             222851  222851  131520  128005  5                5                      0 + 3 part           49                        97.058               1.005              0.45               65.58                     4.34                  4209 + 48 part   460229             222851  222851  131520  128005
