All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   M_abscessus_AB_SP_mix  M_abscessus_AB_MS_mix  M_abscessus_MS_SP_mix  M_abscessus_AB_MS_SP_mix  abyss_ctg       soap_ctg        msrca_ctg     
# contigs (>= 0 bp)        134                    51                     61                     63                        147             143             66            
# contigs (>= 1000 bp)     56                     49                     56                     55                        87              65              57            
Total length (>= 0 bp)     4334178                5089436                5142329                5391700                   5134453         5150322         5146013       
Total length (>= 1000 bp)  4315568                5088416                5139035                5386649                   5116313         5131712         5140375       
# contigs                  62                     50                     60                     60                        96              71              63            
Largest contig             474277                 375149                 375149                 375149                    610290          474277          375149        
Total length               4320031                5089109                5142002                5390421                   5123560         5136175         5144734       
Reference length           5090491                5090491                5090491                5090491                   5090491         5090491         5090491       
GC (%)                     64.15                  64.15                  64.13                  64.08                     64.10           64.09           64.13         
Reference GC (%)           64.15                  64.15                  64.15                  64.15                     64.15           64.15           64.15         
N50                        147925                 247798                 246830                 246830                    119446          148639          246830        
NG50                       144505                 247798                 246830                 247798                    119446          148639          246830        
N75                        83324                  147416                 110872                 122899                    68977           88169           110872        
NG75                       51225                  147416                 110872                 147416                    68977           88169           110872        
# misassemblies            9                      8                      7                      8                         7               10              7             
# local misassemblies      15                     2                      2                      2                         8               17              2             
# unaligned contigs        1 + 0 part             0 + 0 part             0 + 0 part             0 + 0 part                0 + 1 part      1 + 0 part      0 + 0 part    
Unaligned contigs length   5385                   0                      0                      0                         82              5385            0             
Genome fraction (%)        83.153                 98.553                 99.328                 99.340                    99.073          99.177          99.341        
Duplication ratio          1.026                  1.015                  1.017                  1.066                     1.032           1.026           1.018         
# N's per 100 kbp          0.00                   0.16                   0.00                   0.00                      12.10           0.00            0.00          
# mismatches per 100 kbp   1.63                   48.62                  49.68                  47.44                     3.89            1.64            49.65         
# indels per 100 kbp       1.39                   5.72                   6.53                   6.53                      2.22            1.25            6.53          
# genes                    4118 + 71 part         4873 + 53 part         4910 + 56 part         4911 + 55 part            4874 + 85 part  4888 + 74 part  4910 + 56 part
Largest alignment          474277                 309535                 309535                 309535                    610150          474277          309535        
NA50                       144505                 187809                 187809                 187809                    111763          147199          187809        
NGA50                      110637                 187809                 187809                 214810                    115738          147199          187809        
NA75                       70378                  88132                  88132                  88132                     63561           75472           88132         
NGA75                      38983                  88132                  88132                  122899                    63561           75472           88132         
