Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
V_cholerae_HiSeq_abyss-cabog_mix	149	87	4249894	4227155	130	348016	4247991	4033464	47.54	47.49	169783	173651	71624	81310	27	19	2 + 0 part	974	97.343	1.091	81.05	9.37	6.70	3542 + 58 part	347473	129250	129250	59821	66449
V_cholerae_HiSeq_abyss-mira_mix	135	90	4286430	4269200	122	392959	4285064	4033464	47.58	47.49	169776	173651	75662	91944	25	19	2 + 0 part	974	97.650	1.105	86.72	6.96	6.30	3555 + 47 part	380851	119375	119875	59821	71310
V_cholerae_HiSeq_abyss-msrca_mix	81	71	4355293	4349192	81	555664	4355293	4033464	47.51	47.49	236373	241604	155274	155818	13	9	0 + 2 part	399	98.236	1.115	14.44	65.72	8.10	3632 + 40 part	555664	216154	236373	85155	127189
V_cholerae_HiSeq_abyss-sga_mix	191	114	4081478	4053919	164	280277	4078801	4033464	47.55	47.49	94508	94508	58395	59821	8	18	2 + 1 part	1022	97.318	1.054	101.08	5.17	5.81	3533 + 54 part	246076	92996	92996	52122	53661
V_cholerae_HiSeq_abyss-soap_mix	143	74	4236234	4213177	113	425556	4232055	4033464	47.57	47.49	163193	170045	82359	92214	22	55	6 + 2 part	2140	96.789	1.096	31.69	13.76	7.10	3516 + 47 part	425699	135118	135761	66449	71858
V_cholerae_HiSeq_abyss-spades_mix	157	91	4230361	4206637	135	380846	4228169	4033464	47.57	47.49	130993	173651	72656	77303	30	15	2 + 0 part	974	97.391	1.093	81.19	5.45	6.44	3540 + 45 part	380846	97131	101309	63291	66343
V_cholerae_HiSeq_abyss-velvet_mix	162	94	4083597	4059986	136	348061	4080980	4033464	47.55	47.49	129398	157073	71310	72656	14	22	2 + 1 part	1001	97.456	1.053	100.59	5.47	6.26	3541 + 55 part	347518	113113	113113	59658	62340
V_cholerae_HiSeq_cabog-mira_mix	523	83	4070350	3995892	204	367143	4041176	4033464	47.49	47.49	175846	175846	99825	99825	60	16	12 + 35 part	6065	97.826	1.029	4.53	12.77	4.74	3573 + 55 part	225998	137183	137183	65527	65527
V_cholerae_HiSeq_cabog-msrca_mix	68	56	4032400	4024768	68	739101	4032400	4033464	47.49	47.49	324982	324982	169035	169035	36	6	0 + 1 part	152	98.118	1.024	0.00	66.73	6.24	3623 + 43 part	540482	236373	236373	71660	71660
V_cholerae_HiSeq_cabog-sga_mix	91	90	3883414	3883251	90	271312	3883251	4033464	47.53	47.49	100150	88972	46074	44753	57	11	0 + 0 part	0	96.151	1.008	0.00	15.63	7.07	3454 + 95 part	271312	57813	56990	30411	27988
V_cholerae_HiSeq_cabog-soap_mix	151	71	4060442	4037461	110	425556	4054892	4033464	47.53	47.49	163193	163193	92214	92214	23	53	6 + 1 part	2076	97.221	1.048	0.00	13.75	6.32	3542 + 41 part	425699	156463	156463	71649	71649
V_cholerae_HiSeq_cabog-spades_mix	134	86	4022258	3996762	134	441715	4022258	4033464	47.50	47.49	145856	145856	85935	85935	28	11	8 + 0 part	3366	97.157	1.033	0.00	9.24	3.42	3533 + 46 part	215173	96020	96020	55561	55561
V_cholerae_HiSeq_cabog-velvet_mix	87	86	3937577	3937414	86	312196	3937414	4033464	47.56	47.49	131323	131323	54553	51822	51	11	0 + 0 part	0	96.194	1.022	0.00	15.90	7.11	3459 + 94 part	259312	59253	57813	33039	32754
V_cholerae_HiSeq_mira-msrca_mix	71	61	4272879	4266705	71	739402	4272879	4033464	47.52	47.49	338755	338755	168663	169834	26	6	0 + 2 part	399	98.315	1.083	0.73	58.96	6.93	3630 + 47 part	738561	204226	246505	108966	134529
V_cholerae_HiSeq_mira-sga_mix	522	91	4002908	3931732	203	318959	3973734	4033464	47.49	47.49	129237	129237	83846	81165	63	9	12 + 36 part	6163	97.866	1.007	5.18	11.32	4.18	3577 + 51 part	246342	108623	108623	51186	49911
V_cholerae_HiSeq_mira-soap_mix	140	64	4184429	4161910	103	425556	4179457	4033464	47.53	47.49	208704	208704	148875	148875	31	49	6 + 0 part	2024	97.248	1.072	1.03	13.46	8.59	3536 + 47 part	425699	156463	171619	65779	92025
V_cholerae_HiSeq_mira-spades_mix	512	82	4039031	3969356	193	358311	4009857	4033464	47.50	47.49	176605	166621	98469	94845	60	11	12 + 36 part	6075	97.800	1.023	4.26	11.74	3.83	3575 + 46 part	246343	137183	137183	66376	64443
V_cholerae_HiSeq_mira-velvet_mix	508	82	4048194	3980236	190	319647	4019112	4033464	47.50	47.49	137185	137185	83846	83846	59	11	12 + 35 part	6034	97.887	1.029	4.55	11.65	5.07	3580 + 47 part	246308	129237	129237	61133	61133
V_cholerae_HiSeq_msrca-sga_mix	80	68	3981145	3973499	80	597813	3981145	4033464	47.50	47.49	246505	246505	108966	108966	17	5	0 + 2 part	399	98.140	1.011	0.00	66.49	6.47	3623 + 48 part	597776	236376	236376	79323	71660
V_cholerae_HiSeq_msrca-soap_mix	76	67	3986418	3981459	76	738392	3986418	4033464	47.50	47.49	324982	324982	118036	118036	21	10	0 + 2 part	399	98.100	1.013	0.00	66.04	7.35	3625 + 43 part	555664	236373	236373	74254	74254
V_cholerae_HiSeq_msrca-spades_mix	66	57	4101742	4096403	66	738842	4101742	4033464	47.52	47.49	349588	349588	198641	198641	29	5	0 + 2 part	399	98.298	1.042	0.00	58.01	7.39	3631 + 41 part	682404	324982	324982	89024	89771
