All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   aureus_AP_SP_mix  aureus_BB_SP_mix  bambus2.genome.ctg  SOAP.genome.ctg  aureus_AP_BB_mix  AP.genome.ctg   aureus_AP_BB_SP_mix  soap_ctg        abyss_ctg     
# contigs (>= 0 bp)        91                93                109                 183              56                67              89                   278             132           
# contigs (>= 1000 bp)     36                36                100                 51               55                58              37                   48              89            
Total length (>= 0 bp)     2957526           2861590           2833735             2919280          2870300           2870776         3065600              2856225         3040616       
Total length (>= 1000 bp)  2939096           2842901           2828214             2883061          2870012           2868733         3049014              2820329         3031704       
# contigs                  51                51                106                 70               55                59              50                   52              92            
Largest contig             518710            542204            158330              518710           234488            234488          518710               364183          244957        
Total length               2950602           2854407           2832623             2897432          2870012           2869581         3058781              2822930         3034102       
Reference length           2903081           2903081           2903081             2903081          2903081           2903081         2903081              2903081         2903081       
GC (%)                     32.61             32.58             32.55               32.57            32.65             32.65           32.59                32.69           32.92         
Reference GC (%)           32.73             32.73             32.73               32.73            32.73             32.73           32.73                32.73           32.73         
N50                        288184            288184            50192               288184           97252             96740           288184               146332          64963         
NG50                       296366            288184            50192               288184           97252             96740           297046               146332          73887         
N75                        135682            153475            31252               110622           56290             48304           179248               92436           38351         
NG75                       179309            153475            31251               110622           54599             48304           179309               53313           39976         
# misassemblies            32                34                4                   31               6                 3               36                   70              70            
# local misassemblies      55                58                50                  56               8                 6               61                   82              73            
# unaligned contigs        0 + 0 part        0 + 0 part        0 + 0 part          0 + 1 part       0 + 0 part        0 + 0 part      0 + 0 part           9 + 8 part      7 + 12 part   
Unaligned contigs length   0                 0                 0                   115              0                 0               0                    68346           110675        
Genome fraction (%)        98.698            97.203            97.394              98.387           97.663            98.827          98.523               90.016          90.633        
Duplication ratio          1.037             1.025             1.034               1.020            1.027             1.014           1.084                1.055           1.106         
# N's per 100 kbp          0.20              0.07              0.35                0.07             1.46              1.50            0.23                 0.00            0.00          
# mismatches per 100 kbp   20.49             21.33             1.38                23.35            1.69              1.57            17.03                864.57          860.20        
# indels per 100 kbp       5.51              7.02              9.02                6.41             2.89              3.87            4.89                 54.16           62.52         
# genes                    2732 + 45 part    2689 + 47 part    2641 + 90 part      2725 + 48 part   2697 + 41 part    2728 + 42 part  2724 + 46 part       2448 + 54 part  2461 + 67 part
Largest alignment          432463            422789            158329              432463           234488            234488          432463               187397          187397        
NA50                       217394            172976            50192               172569           96867             96740           217395               79978           42776         
NGA50                      217394            172569            50192               172569           96867             96740           217395               79978           49061         
NA75                       85931             85931             31251               85931            48304             48304           89623                33715           22162         
NGA75                      93229             85931             31008               85931            48304             48304           93229                32354           27300         
