All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   X_axonopodis_AB_SP_mix  X_axonopodis_AB_MS_mix  X_axonopodis_MS_SP_mix  X_axonopodis_MS_SPD_mix  X_axonopodis_AB_MS_SP_mix  abyss_ctg      soap_ctg       msrca_ctg      GAM_abyss-soap  GAM_msrca-abyss  GAM_msrca-spades
# contigs (>= 0 bp)        342                     104                     105                     103                      103                        2372           2056           155            2329            149              149             
# contigs (>= 1000 bp)     118                     93                      93                      90                       95                         134            146            99             124             96               94              
Total length (>= 0 bp)     4961472                 4917481                 4902919                 4901101                  4928366                    5086459        5187613        4935414        5085957         4933218          4933571         
Total length (>= 1000 bp)  4925850                 4911236                 4895740                 4892478                  4923463                    4899971        4888668        4901466        4908313         4901242          4900117         
# contigs                  135                     101                     102                     100                      102                        154            163            138            138             132              133             
Largest contig             199307                  388418                  322669                  322669                   388171                     196813         196882         322669         199392          322669           322669          
Total length               4937609                 4916265                 4901703                 4899885                  4927974                    4913650        4900579        4928115        4917910         4925919          4926766         
Reference length           4967469                 4967469                 4967469                 4967469                  4967469                    4967469        4967469        4967469        4967469         4967469          4967469         
GC (%)                     65.11                   65.10                   65.11                   65.08                    65.08                      65.09          65.12          65.08          65.09           65.08            65.08           
Reference GC (%)           64.92                   64.92                   64.92                   64.92                    64.92                      64.92          64.92          64.92          64.92           64.92            64.92           
N50                        94163                   118649                  117883                  118649                   118649                     89864          79834          117883         94163           117883           118649          
NG50                       94163                   117883                  117883                  117883                   117883                     89864          74197          117883         93391           117883           117883          
N75                        50268                   61875                   62417                   62417                    61875                      47805          41329          61875          51530           63903            64613           
NG75                       50268                   61875                   61875                   62417                    61875                      45155          41138          61875          50268           63903            64613           
# misassemblies            26                      25                      24                      25                       25                         24             19             24             24              24               25              
# local misassemblies      61                      61                      61                      61                       61                         58             60             61             61              63               63              
# unaligned contigs        74 + 23 part            55 + 16 part            55 + 16 part            54 + 15 part             56 + 16 part               88 + 30 part   87 + 31 part   91 + 16 part   77 + 25 part    87 + 15 part     89 + 14 part    
Unaligned contigs length   1528924                 1308294                 1294422                 1279576                  1320250                    1867690        1882839        1320834        1693104         1308001          1296375         
Genome fraction (%)        20.624                  20.068                  20.064                  20.067                   20.076                     20.711         20.535         20.064         20.687          20.064           20.064          
Duplication ratio          3.327                   3.620                   3.620                   3.632                    3.618                      2.961          2.958          3.620          3.138           3.630            3.643           
# N's per 100 kbp          0.85                    0.00                    0.00                    1.00                     0.00                       1.02           0.00           0.00           1.02            0.00             0.39            
# mismatches per 100 kbp   4151.66                 4258.15                 4257.50                 4253.49                  4257.58                    4146.69        4133.74        4257.50        4146.62         4256.06          4254.62         
# indels per 100 kbp       153.10                  146.11                  146.13                  146.42                   146.04                     147.31         136.36         146.13         151.56          146.13           146.54          
# genes                    818 + 76 part           796 + 69 part           795 + 70 part           796 + 69 part            796 + 70 part              820 + 78 part  812 + 87 part  795 + 70 part  820 + 77 part   795 + 70 part    795 + 70 part   
Largest alignment          46289                   46289                   46289                   46289                    46289                      46289          41918          46289          46289           46289            46289           
NA50                       None                    None                    None                    None                     None                       None           None           None           None            None             None            
NGA50                      None                    None                    None                    None                     None                       None           None           None           None            None             None            
NA75                       None                    None                    None                    None                     None                       None           None           None           None            None             None            
NGA75                      None                    None                    None                    None                     None                       None           None           None           None            None             None            
