ID or #		Start	End
============================
gene0		621	1421
gene1		1733	2095
gene2		2641	3468
gene3		3642	4931
gene4		5076	5912
gene5		5912	6724
gene6		6757	7815
gene7		7843	8856
gene8		8935	10380
gene9		10377	11432
gene10		11462	12331
gene12		13573	14637
gene13		14654	16588
gene14		16621	17685
gene15		17973	19178
gene16		19541	20317
gene17		20487	21665
gene18		21662	22612
gene19		22769	24070
gene20		25696	25962
gene21		26299	27303
gene22		27710	28645
gene23		28731	30200
gene24		30256	31311
gene25		31364	31924
gene26		31924	33264
gene27		33282	33677
gene28		33684	35072
gene29		35085	36866
gene30		37146	38165
gene31		38175	39173
gene32		39276	40829
gene33		40884	41990
gene34		41999	42733
gene35		42730	43509
gene36		43470	44810
gene37		44807	46303
gene38		46305	47210
gene39		47228	47980
gene40		48080	49168
gene41		49168	50109
gene42		50145	51131
gene43		51181	52131
gene44		52324	52887
gene45		53078	53413
gene46		53501	56839
gene47		57058	57738
gene48		57879	58898
gene49		59130	60320
gene50		60354	60761
gene51		61158	62156
gene53		62823	65204
gene54		65293	66294
gene55		66565	68031
gene56		68311	70023
gene57		70026	70295
gene58		70301	71737
gene59		71745	72011
gene60		72059	72508
gene61		72749	73810
gene62		73814	75046
gene63		75213	76136
gene64		76416	76712
gene65		76848	77507
gene66		77510	78826
gene67		79001	81367
gene68		81382	81846
gene69		81860	82651
gene70		82655	83401
gene71		83574	84509
gene72		84519	85451
gene73		85514	86767
gene74		86764	87645
gene75		87645	88658
gene76		88655	89437
gene77		89424	90131
gene78		90154	90909
gene79		90920	91720
gene80		91770	92513
gene81		92579	94861
gene82		94858	95622
gene83		95632	96159
gene84		96319	97332
gene85		97425	98924
gene86		98921	99151
gene87		99154	99885
gene88		99890	100558
gene89		100619	101461
gene90		101527	102279
gene91		102498	103496
gene92		103518	104243
gene93		104224	105345
gene94		105404	106816
gene95		106818	107675
gene96		107672	108529
gene97		108526	109371
gene98		109368	110333
gene99		110333	111643
gene100		111689	112627
gene101		112756	113820
gene0		44	373
gene1		503	1423
gene2		2476	2976
gene3		3046	4455
gene4		4457	5884
gene5		6369	7601
gene6		8155	8469
gene7		9069	9386
gene8		9659	10177
gene9		10616	11194
gene10		11594	12100
gene11		12163	13518
gene12		13749	14153
gene13		14239	14508
gene14		15136	15645
gene15		15762	17840
gene16		17858	18229
gene17		18360	18833
gene18		19452	20072
gene19		20088	21032
gene20		21115	21852
gene21		21897	22943
gene22		23211	23603
gene23		23611	24192
gene24		24208	25656
gene25		26071	26421
gene26		26520	27608
gene27		27605	28492
gene28		29055	29480
gene29		29768	30193
gene30		30331	31239
gene31		31628	31858
gene32		31858	32265
gene33		32587	32745
gene34		32742	35378
gene35		35883	37580
gene36		37901	38356
gene37		38353	39060
gene38		40375	41439
gene39		41895	42329
gene40		42792	44993
gene41		44990	45439
gene42		45443	46525
gene43		47967	48521
gene44		49257	49529
gene45		49550	50038
gene46		50102	51238
gene47		51336	52625
gene48		52627	53214
gene49		53315	54514
gene50		54571	55299
gene51		55599	56489
gene52		56618	56944
gene53		57522	57875
gene54		57958	59379
gene55		59916	60491
gene56		60548	60982
gene57		61354	62016
gene58		62031	63725
gene59		63942	64904
gene60		64908	66029
gene61		66026	66787
gene62		68117	68509
gene63		70337	71047
gene64		71408	72715
gene65		72715	73767
gene67		75572	76366
gene69		79574	79807
gene70		79818	80000
gene71		80006	80488
gene72		80481	80747
gene73		80744	83239
gene74		83242	83706
gene75		83708	84391
gene76		84532	84993
gene77		85057	86430
gene78		87038	87844
gene79		88117	90816
gene80		92368	93411
gene81		93528	94307
gene82		95448	96629
gene83		99311	100063
gene84		100068	100622
gene85		101538	102200
gene86		102413	102679
gene87		102713	103435
gene88		103644	104285
gene89		104650	105135
gene0		436	1011
