All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   B_fragilis_AB_SP_mix  B_fragilis_AB_MS_mix  B_fragilis_MS_SP_mix  B_fragilis_AB_MS_SP_mix  abyss_ctg        soap_ctg         msrca_ctg      
# contigs (>= 0 bp)        231                   55                    70                    61                       168              402              119            
# contigs (>= 1000 bp)     100                   53                    65                    59                       141              118              102            
Total length (>= 0 bp)     5270756               5220287               5334576               5190730                  7041280          5314517          5396385        
Total length (>= 1000 bp)  5234237               5219312               5331242               5189755                  7031322          5241412          5386876        
# contigs                  118                   54                    68                    60                       149              149              109            
Largest contig             384109                638525                579813                585280                   419237           384109           391846         
Total length               5246600               5219836               5333634               5190279                  7036707          5262789          5392427        
Reference length           5373121               5373121               5373121               5373121                  5373121          5373121          5373121        
GC (%)                     43.46                 43.48                 43.47                 43.50                    43.43            43.47            43.45          
Reference GC (%)           43.42                 43.42                 43.42                 43.42                    43.42            43.42            43.42          
N50                        130112                213368                187353                197540                   106769           125627           158716         
NG50                       130112                213368                187353                187353                   146158           116105           158716         
N75                        60345                 115382                82479                 87314                    56017            58562            74628          
NG75                       58562                 108023                82479                 82479                    92833            56336            74628          
# misassemblies            98                    118                   114                   109                      166              96               121            
# local misassemblies      48                    51                    51                    49                       55               48               51             
# unaligned contigs        39 + 15 part          9 + 5 part            12 + 7 part           9 + 7 part               34 + 18 part     59 + 16 part     19 + 15 part   
Unaligned contigs length   394418                263711                360119                292884                   548300           443860           378130         
Genome fraction (%)        80.195                78.566                80.526                78.538                   80.532           80.029           80.497         
Duplication ratio          1.126                 1.175                 1.150                 1.161                    1.497            1.120            1.160          
# N's per 100 kbp          0.00                  0.00                  0.00                  0.00                     3.40             0.00             0.00           
# mismatches per 100 kbp   664.45                686.52                683.96                680.88                   662.59           663.39           685.06         
# indels per 100 kbp       33.19                 35.72                 29.03                 33.74                    36.77            29.07            29.39          
# genes                    3367 + 106 part       3305 + 99 part        3376 + 101 part       3313 + 92 part           3385 + 102 part  3359 + 106 part  3375 + 105 part
Largest alignment          185821                185930                185930                185930                   186153           185821           185930         
NA50                       43464                 44100                 44083                 44518                    38481            42686            42218          
NGA50                      42686                 44083                 44083                 44083                    50798            41464            42218          
NA75                       13429                 14283                 13208                 14497                    12615            13166            11177          
NGA75                      11607                 9764                  12725                 9800                     30333            11178            11876          
