Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
S.aureus_sga-spades.gam	1461	75	3086255	2908498	124	243935	2928794	2903081	32.74	32.73	105445	105445	50231	50231	69	74	34 + 17 part	56908	90.130	1.099	0.20	846.53	46.40	2454 + 72 part	172707	47196	47196	30431	31317
S.aureus_soap-mira.gam	168	39	2847209	2825856	60	364183	2833223	2903081	32.73	32.73	176562	176562	122707	122707	73	81	13 + 9 part	36221	90.235	1.067	0.14	868.39	67.81	2464 + 55 part	187397	70865	70865	34865	33070
S.aureus_msrca-mira.gam	48	32	2893414	2886802	48	449789	2893414	2903081	32.86	32.73	221821	221821	123428	123428	77	80	5 + 14 part	90803	90.436	1.069	0.07	889.00	59.20	2474 + 56 part	187458	70865	70865	34865	34865
S.aureus_msrca-cabog.gam	49	32	2893080	2885717	49	449789	2893080	2903081	32.86	32.73	221821	221821	175306	123428	77	80	6 + 14 part	90960	90.436	1.068	0.00	889.00	59.42	2473 + 57 part	187458	70865	70865	36523	34865
S.aureus_abyss-spades.gam	89	53	3021125	3015152	61	437528	3018429	2903081	32.93	32.73	174475	223135	89747	89747	86	80	7 + 7 part	104133	90.855	1.101	0.20	866.21	59.76	2479 + 61 part	187397	56213	60866	31907	34145
S.aureus_msrca-soap.gam	45	33	2965254	2959943	45	449789	2965254	2903081	32.85	32.73	244336	244336	123428	175306	79	81	5 + 12 part	91729	90.436	1.096	0.00	888.77	54.17	2474 + 56 part	187458	64503	70865	34480	34865
S.aureus_velvet-msrca.gam	64	45	2966989	2963161	53	336190	2965136	2903081	32.73	32.73	210034	210034	85561	92503	76	83	9 + 7 part	61257	90.294	1.107	0.00	874.43	61.05	2469 + 54 part	187397	64416	64416	35824	37339
S.aureus_velvet-abyss.gam	69	46	2831944	2826268	57	349754	2829895	2903081	32.73	32.73	172668	172668	85561	65188	76	83	9 + 7 part	54478	90.295	1.058	0.00	873.92	61.39	2467 + 59 part	187397	64416	64058	33895	32712
S.aureus_spades-sga.gam	72	40	2861974	2851518	68	350174	2861578	2903081	32.79	32.73	187080	187080	105739	105739	81	84	27 + 6 part	33715	90.561	1.074	1.99	869.17	53.64	2477 + 53 part	187456	70865	70865	35824	34865
S.aureus_mira-soap.gam	176	39	2872739	2837044	129	379101	2866205	2903081	32.80	32.73	242255	242255	122907	122907	93	82	64 + 11 part	50875	90.599	1.072	2.97	869.77	60.31	2480 + 56 part	187515	70865	64416	33070	31712
