Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
R.sphaeroides_cabog-velvet.gam	539	531	4216057	4212622	537	41321	4215836	4603060	68.95	68.79	12421	11358	7179	5447	4	3	0 + 10 part	360	90.840	1.009	0.00	23.05	4.97	3530 + 511 part	41321	12360	11217	7179	5447
R.sphaeroides_MiSeq_soap-sga.gam	268	198	4565858	4539792	264	166118	4565142	4603060	68.78	68.79	39473	39185	22779	22654	3	13	19 + 2 part	5168	98.634	1.011	0.00	6.48	3.77	4161 + 180 part	166118	39473	39185	22591	22243
R.sphaeroides_MiSeq_msrca-velvet.gam	58	49	4247828	4242830	58	246740	4247828	4603060	68.90	68.79	165053	147899	113534	79060	5	5	1 + 1 part	341	91.951	1.004	0.00	12.64	4.25	4019 + 39 part	246740	165053	147899	113534	79060
R.sphaeroides_velvet-sga.gam	798	513	4525236	4422515	696	59062	4510543	4603060	68.77	68.79	13800	13087	7323	6852	3	4	1 + 5 part	404	97.568	1.001	0.00	12.83	3.36	3797 + 531 part	59056	13775	13087	7322	6851
R.sphaeroides_spades-abyss.gam	350	134	4670077	4607692	298	291333	4664700	4603060	68.68	68.79	74486	83463	47310	47313	8	5	107 + 0 part	25816	99.184	1.018	16.21	8.50	4.01	4244 + 104 part	291332	74016	83460	42137	42417
R.sphaeroides_MiSeq_sga-soap.gam	380	208	4598530	4546352	334	165688	4590636	4603060	68.78	68.79	38962	38962	22333	22211	5	14	3 + 1 part	763	98.741	1.019	0.00	4.53	3.96	4155 + 193 part	165688	38962	38962	22211	22042
R.sphaeroides_msrca-sga.gam	130	89	4489204	4468382	130	358962	4489204	4603060	68.86	68.79	176783	176783	76502	69776	5	5	0 + 3 part	49	97.031	1.005	0.00	74.94	5.28	4195 + 62 part	358962	176783	176783	76502	69769
R.sphaeroides_abyss-abyss.gam	1557	464	4633465	4501467	604	66408	4569531	4603060	68.73	68.79	13460	13319	8453	8354	9	2	1 + 1 part	661	98.258	1.009	0.18	10.17	3.74	3927 + 379 part	66408	13319	13002	8441	8339
R.sphaeroides_abyss-cabog.gam	1557	464	4633465	4501467	604	66408	4569531	4603060	68.73	68.79	13460	13319	8453	8354	9	2	1 + 1 part	661	98.258	1.009	0.18	10.17	3.74	3927 + 379 part	66408	13319	13002	8441	8339
R.sphaeroides_spades-velvet.gam	350	134	4670077	4607692	298	291333	4664700	4603060	68.68	68.79	74486	83463	47310	47313	8	5	107 + 0 part	25816	99.184	1.018	16.21	8.50	4.01	4244 + 104 part	291332	74016	83460	42137	42417
R.sphaeroides_sga-sga.gam	12186	511	5704978	4164683	862	75323	4291843	4603060	68.71	68.79	12793	12057	6610	5330	2	2	0 + 3 part	205	92.746	1.004	0.00	4.92	3.49	3589 + 664 part	75323	12793	12057	6610	5330
R.sphaeroides_velvet-msrca.gam	798	513	4525236	4422515	696	59062	4510543	4603060	68.77	68.79	13800	13087	7323	6852	3	4	1 + 5 part	404	97.568	1.001	0.00	12.83	3.36	3797 + 531 part	59056	13775	13087	7322	6851
R.sphaeroides_soap-spades.gam	7436	613	5220141	4360313	859	45522	4487957	4603060	68.87	68.79	10993	10600	5774	5310	3	10	1 + 11 part	1125	97.134	1.003	0.00	28.38	10.74	3655 + 674 part	45511	10906	10512	5702	5304
R.sphaeroides_MiSeq_msrca-abyss.gam	55	50	4248295	4246281	55	246740	4248295	4603060	68.90	68.79	147899	143568	104082	77487	5	5	1 + 1 part	341	92.002	1.004	0.00	12.82	4.25	4020 + 37 part	246740	147899	143568	104082	77487
R.sphaeroides_MiSeq_mira-sga.gam	436	322	4602784	4558092	418	78108	4600122	4603060	68.80	68.79	23553	23553	12737	12614	17	7	0 + 3 part	116	99.170	1.012	1.74	41.40	8.35	4078 + 275 part	78108	23218	23218	12410	12410
R.sphaeroides_MiSeq_soap-spades.gam	137	77	4572944	4554959	133	286179	4572228	4603060	68.79	68.79	118090	118090	64604	61235	4	11	19 + 1 part	5085	99.042	1.010	1.44	8.03	3.93	4276 + 73 part	286179	118090	118090	61235	61235
R.sphaeroides_mira-abyss.gam	1581	446	4725855	4355336	1228	110511	4675875	4603060	68.75	68.79	17528	17743	8196	8354	10	7	1 + 7 part	1220	99.058	1.022	7.14	22.46	5.81	3814 + 530 part	110511	17328	17656	8112	8287
R.sphaeroides_soap-sga.gam	7436	613	5220141	4360313	859	45522	4487957	4603060	68.87	68.79	10993	10600	5774	5310	3	10	1 + 11 part	1125	97.134	1.003	0.00	28.38	10.74	3655 + 674 part	45511	10906	10512	5702	5304
R.sphaeroides_MiSeq_sga-abyss.gam	479	292	4597422	4537027	433	93312	4589528	4603060	68.78	68.79	26036	26036	14209	13999	4	3	3 + 1 part	763	98.691	1.005	0.00	3.74	3.41	4097 + 250 part	93312	26036	26036	14209	13999
R.sphaeroides_sga-cabog.gam	12186	511	5704978	4164683	862	75323	4291843	4603060	68.71	68.79	12793	12057	6610	5330	2	2	0 + 3 part	205	92.746	1.004	0.00	4.92	3.49	3589 + 664 part	75323	12793	12057	6610	5330
R.sphaeroides_msrca-cabog.gam	130	89	4489204	4468382	130	358962	4489204	4603060	68.86	68.79	176783	176783	76502	69776	5	5	0 + 3 part	49	97.031	1.005	0.00	74.94	5.28	4195 + 62 part	358962	176783	176783	76502	69769
