All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   b_cereus_AB_SP_mix  b_cereus_AB_MS_mix  b_cereus_MS_SP_mix  b_cereus_AB_MS_SP_mix  b_cereus_MS_SOAP_mix  b_cereus_CBG_SOAP_mix  b_cereus_MS_CBG_SOAP_mix  b_cereus_MI_MS_mix  b_cereus_MI_SOAP_mix  b_cereus_MI_SOAP_CBG_MS_mix  abyss_ctg       soap_ctg        msrca_ctg       spades_ctg        cabog_ctg       mira_ctg        GAM_mira-cabog  GAM_mira-msrca  GAM_msrca-cabog  GAM_soap-msrca
# contigs (>= 0 bp)        76                  48                  47                  37                     47                    62                     36                        36                  54                    29                           617             123             90              50090             78              164             131             16              84               89            
# contigs (>= 1000 bp)     55                  45                  42                  36                     42                    47                     34                        35                  44                    29                           82              73              55              99                77              96              65              0               51               46            
Total length (>= 0 bp)     5579756             6294149             5407179             6357600                5407179               5392891                5557695                   5460995             5579795               6098819                      5431491         5352193         5440292         17888992          5419995         5422635         5424359         6248            5435744          5357420       
Total length (>= 1000 bp)  5572523             6292471             5404989             6357285                5404989               5388174                5556488                   5460118             5576231               6098819                      5376981         5337776         5422846         5385812           5419570         5389079         5392304         0               5419319          5346105       
# contigs                  71                  48                  47                  37                     47                    58                     36                        36                  52                    29                           115             105             90              49967             78              153             120             16              84               71            
Largest contig             700546              952292              1157774             1364844                1157774               735341                 1192768                   1024103             636045                1457618                      430487          606530          766822          346945            258489          311769          392037          877             766822           606530        
Total length               5578890             6294149             5407179             6357600                5407179               5392225                5557695                   5460995             5579476               6098819                      5388694         5349083         5440292         17873366          5419995         5421518         5423242         6248            5435744          5354310       
Reference length           5432652             5432652             5432652             5432652                5432652               5432652                5432652                   5432652             5432652               5432652                      5432652         5432652         5432652         5432652           5432652         5432652         5432652         5432652         5432652          5432652       
GC (%)                     35.34               35.29               35.37               35.31                  35.37                 35.32                  35.35                     35.39               35.33                 35.37                        35.32           35.29           35.42           37.73             35.41           35.43           35.43           48.38           35.41            35.30         
Reference GC (%)           35.50               35.50               35.50               35.50                  35.50                 35.50                  35.50                     35.50               35.50                 35.50                        35.50           35.50           35.50           35.50             35.50           35.50           35.50           35.50           35.50            35.50         
N50                        380728              337861              487570              429164                 487570                380728                 487570                    412808              493841                589905                       130570          246346          246697          251               155352          116480          161612          336             246697           246346        
NG50                       380728              429164              487570              574929                 487570                380728                 487570                    412808              493841                607401                       130570          246346          246697          103691            155352          116480          161612          None            246697           246346        
N75                        97012               209762              183530              209762                 183530                156953                 246697                    209762              198745                246697                       69698           78462           170659          250               76333           52231           92252           314             170659           125598        
NG75                       109520              246697              183530              282385                 183530                156953                 246697                    209762              207173                301481                       65667           74856           170659          57869             76333           52231           92252           None            170659           125598        
# misassemblies            7                   27                  10                  24                     10                    8                      19                        15                  12                    23                           3               1               12              14                7               12              14              1               13               4             
# local misassemblies      23                  16                  16                  22                     16                    21                     15                        9                   21                    14                           26              21              11              14                6               14              14              0               10               24            
# unaligned contigs        1 + 0 part          0 + 0 part          0 + 0 part          0 + 0 part             0 + 0 part            1 + 0 part             0 + 0 part                0 + 0 part          1 + 0 part            0 + 0 part                   1 + 0 part      1 + 0 part      0 + 0 part      41518 + 724 part  0 + 0 part      4 + 4 part      4 + 4 part      0 + 0 part      0 + 0 part       1 + 0 part    
Unaligned contigs length   2316                0                   0                   0                      0                     2316                   0                         0                   2316                  0                            210             2316            0               10462090          0               3764            3764            0               0                2316          
Genome fraction (%)        98.384              99.002              98.962              98.974                 98.962                98.643                 98.126                    98.754              98.523                98.888                       98.513          98.106          99.014          98.837            99.323          98.903          99.112          0.041           99.106           98.347        
Duplication ratio          1.047               1.174               1.008               1.188                  1.008                 1.010                  1.043                     1.021               1.046                 1.140                        1.010           1.003           1.011           1.376             1.007           1.011           1.012           1.003           1.011            1.006         
# N's per 100 kbp          10.95               15.67               0.00                20.86                  0.00                  0.00                   0.00                      0.64                0.38                  0.51                         102.27          0.00            0.00            1.29              0.00            3.80            3.49            0.00            0.00             0.00          
# mismatches per 100 kbp   10.42               9.18                11.25               12.39                  11.25                 10.24                  11.14                     7.21                10.84                 9.79                         6.60            8.97            8.96            15.79             4.84            3.87            4.42            1026.33         8.77             12.00         
# indels per 100 kbp       3.07                3.83                3.76                3.20                   3.76                  3.64                   2.80                      3.19                2.78                  2.25                         8.00            2.98            3.59            2.89              2.41            2.12            2.43            0.00            2.60             3.18          
# genes                    5843 + 49 part      5954 + 40 part      5946 + 39 part      5942 + 39 part         5946 + 39 part        5876 + 40 part         5895 + 41 part            5929 + 36 part      5868 + 40 part        5934 + 40 part               5816 + 77 part  5828 + 54 part  5961 + 38 part  5904 + 71 part    5934 + 64 part  5908 + 84 part  5943 + 60 part  0 + 6 part      5967 + 36 part   5864 + 39 part
Largest alignment          700543              766822              1157128             1157128                1157128               606357                 1192122                   768873              607372                1157128                      430487          606357          766822          346882            258489          311769          391974          681             766822           606357        
NA50                       246346              214136              487570              218425                 487570                288209                 487570                    264980              266505                250123                       130570          246346          246697          None              150479          100038          155381          None            246697           246346        
NGA50                      246346              246697              487570              485913                 487570                288209                 487570                    264980              266505                487570                       130570          246346          246697          103691            150479          100038          155381          None            246697           246346        
NA75                       83026               170645              183530              135296                 183530                109524                 170659                    177353              90985                 111346                       69698           78462           170659          None              74529           51519           81450           None            170659           107147        
NGA75                      97012               209762              183530              201997                 183530                109524                 170659                    177353              99331                 206583                       65667           74856           170659          57817             74529           51519           81450           None            170659           104258        
