Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B_fragilis_HiSeq_abyss-cabog_mix	100	100	5661308	5661308	100	579707	5661308	5373121	43.42	43.42	151281	154541	57899	88584	136	50	21 + 14 part	356044	79.991	1.235	0.02	665.79	52.86	3343 + 131 part	182457	37679	39592	13162	16064
B_fragilis_HiSeq_abyss-mira_mix	297	83	5436977	5368743	245	585393	5429755	5373121	43.49	43.42	141884	141884	87176	87176	138	51	148 + 34 part	413617	80.544	1.159	3.65	660.93	33.87	3386 + 104 part	188970	44083	44100	11607	13172
B_fragilis_HiSeq_abyss-msrca_mix	61	59	5542458	5541443	61	638525	5542458	5373121	43.55	43.42	246234	246234	115382	149072	121	52	14 + 6 part	308790	78.202	1.246	0.00	686.46	35.70	3292 + 95 part	185930	44083	44518	12492	16128
B_fragilis_HiSeq_abyss-sga_mix	103	95	5426491	5422129	103	288760	5426491	5373121	43.52	43.42	116039	116039	59788	62661	115	50	19 + 12 part	386875	80.496	1.165	4.40	661.13	36.02	3381 + 105 part	186153	39610	41192	12152	12990
B_fragilis_HiSeq_abyss-soap_mix	243	104	5299840	5261021	176	384109	5290249	5373121	43.46	43.42	130112	130112	60212	58562	101	49	73 + 17 part	409264	80.327	1.131	0.00	665.16	31.58	3368 + 109 part	185821	43184	42686	13208	11607
B_fragilis_HiSeq_abyss-spades_mix	108	68	5324924	5306423	107	642513	5324828	5373121	43.51	43.42	173678	173678	98154	98154	112	52	52 + 14 part	398510	79.087	1.160	5.54	669.08	30.87	3312 + 100 part	185423	44907	44100	14408	14057
B_fragilis_HiSeq_abyss-velvet_mix	159	103	5272107	5250148	154	474316	5271221	5373121	43.47	43.42	130328	130328	60198	59460	105	47	77 + 14 part	400533	80.343	1.128	0.00	663.06	33.59	3373 + 108 part	185610	42686	41192	14440	12492
B_fragilis_HiSeq_cabog-mira_mix	305	87	5416800	5346773	252	378585	5409427	5373121	43.41	43.42	144808	144808	84346	87176	134	54	153 + 37 part	442667	80.084	1.155	2.96	670.89	35.80	3363 + 105 part	188970	44083	44083	13391	13677
B_fragilis_HiSeq_cabog-msrca_mix	72	67	5394106	5390772	72	579802	5394106	5373121	43.46	43.42	195008	195008	93957	98412	120	52	15 + 9 part	363530	80.477	1.164	0.00	680.88	35.01	3377 + 102 part	185930	42218	42686	13208	14277
B_fragilis_HiSeq_cabog-sga_mix	97	97	5240652	5240652	97	381926	5240652	5373121	43.43	43.42	115959	112079	59961	57899	118	48	20 + 14 part	340843	80.072	1.140	0.00	665.59	58.69	3356 + 112 part	185391	41208	39033	13198	10231
B_fragilis_HiSeq_cabog-soap_mix	200	85	5366078	5332833	147	384109	5358352	5373121	43.44	43.42	141684	141684	65520	65520	107	49	52 + 15 part	399185	80.163	1.150	0.00	666.46	31.49	3362 + 105 part	185821	43464	43464	13266	13208
B_fragilis_HiSeq_cabog-spades_mix	109	71	5422012	5405368	108	534462	5421916	5373121	43.46	43.42	174843	174843	98154	98154	118	51	51 + 12 part	386783	80.276	1.167	5.05	667.05	31.32	3371 + 100 part	185423	44083	44083	14652	16069
B_fragilis_HiSeq_cabog-velvet_mix	153	95	5349406	5327668	146	324364	5348136	5373121	43.43	43.42	132248	132248	80930	80930	116	50	64 + 12 part	398063	80.113	1.149	0.00	665.49	32.18	3363 + 105 part	185610	42686	42686	14440	14283
B_fragilis_HiSeq_mira-msrca_mix	71	67	5362213	5359888	71	586555	5362213	5373121	43.46	43.42	187353	187353	87314	83090	122	53	13 + 8 part	358922	80.561	1.156	0.13	682.06	30.45	3373 + 109 part	185930	44083	42686	12842	11977
B_fragilis_HiSeq_mira-sga_mix	305	88	5349926	5280677	252	384910	5342553	5373121	43.43	43.42	141646	141646	84346	84346	132	52	152 + 36 part	425650	80.407	1.138	2.96	670.35	32.02	3375 + 105 part	188970	43533	43533	13342	13172
B_fragilis_HiSeq_mira-soap_mix	312	90	5349595	5277794	259	378585	5342222	5373121	43.43	43.42	134263	134263	84346	84346	129	52	155 + 37 part	424412	80.403	1.138	3.00	670.74	31.65	3374 + 106 part	188970	43533	43533	13342	13172
B_fragilis_HiSeq_mira-spades_mix	109	70	5300314	5282859	108	640137	5300218	5373121	43.45	43.42	174843	174843	98154	87141	113	51	51 + 11 part	342578	80.265	1.149	5.09	667.12	33.67	3367 + 104 part	185423	44100	44083	14408	13202
B_fragilis_HiSeq_mira-velvet_mix	309	91	5352389	5282856	256	383991	5345016	5373121	43.43	43.42	134263	134263	84346	84346	130	52	153 + 37 part	430346	80.403	1.138	2.96	670.50	32.35	3375 + 105 part	188970	43533	43533	13342	13172
B_fragilis_HiSeq_msrca-sga_mix	80	74	5351548	5347896	80	391846	5351548	5373121	43.46	43.42	187353	187353	82479	82479	116	51	15 + 11 part	350230	80.549	1.156	0.00	684.41	30.82	3374 + 106 part	185930	42686	42686	13208	12843
B_fragilis_HiSeq_msrca-soap_mix	77	70	5156437	5151879	77	579813	5156437	5373121	43.44	43.42	158716	158716	82479	73703	124	48	15 + 10 part	367701	77.190	1.155	0.00	685.64	30.07	3222 + 102 part	185930	41852	38481	11607	6678
B_fragilis_HiSeq_msrca-spades_mix	66	61	5298466	5295132	66	574707	5298466	5373121	43.48	43.42	204192	204192	98412	98412	115	51	13 + 8 part	334059	79.123	1.168	0.47	684.46	30.11	3323 + 100 part	185930	44100	44083	14497	13166
B_fragilis_HiSeq_msrca-velvet_mix	78	73	5926209	5923433	78	1169014	5926209	5373121	43.46	43.42	195008	213368	98412	114453	143	48	16 + 8 part	360051	83.497	1.241	0.00	675.16	30.50	3524 + 87 part	185930	42686	46629	14334	24017
B_fragilis_HiSeq_sga-soap_mix	258	103	5278523	5234299	185	384109	5268028	5373121	43.46	43.42	130112	130112	60952	60345	98	50	76 + 17 part	413356	80.102	1.126	0.00	663.57	29.74	3359 + 107 part	185821	41464	41345	13266	11564
B_fragilis_HiSeq_sga-spades_mix	118	76	5298599	5278612	117	534462	5298503	5373121	43.44	43.42	157732	157732	87141	86371	110	51	56 + 13 part	389297	80.269	1.137	5.76	667.13	32.18	3368 + 103 part	185423	43492	42951	14408	13202
B_fragilis_HiSeq_sga-velvet_mix	168	107	5261443	5238229	160	286976	5259985	5373121	43.46	43.42	125214	125214	61733	60198	103	48	68 + 14 part	407607	80.052	1.127	0.00	662.81	31.07	3360 + 106 part	185610	43209	41457	14408	12117
B_fragilis_HiSeq_soap-spades_mix	114	72	5348233	5328246	113	640136	5348137	5373121	43.45	43.42	157732	157732	89441	89441	114	52	54 + 11 part	331936	80.269	1.162	5.63	667.08	32.11	3368 + 103 part	185423	44083	44083	14408	14283
B_fragilis_HiSeq_soap-velvet_mix	268	110	5278290	5232442	196	384109	5267897	5373121	43.46	43.42	125627	125627	58562	56336	98	48	83 + 18 part	441859	80.104	1.120	0.00	663.54	29.09	3359 + 107 part	185821	42686	41464	13166	11178
B_fragilis_HiSeq_spades-velvet_mix	118	76	5348652	5328665	117	534462	5348556	5373121	43.45	43.42	157732	157732	87141	87141	114	52	56 + 13 part	389422	80.269	1.149	5.68	667.04	31.07	3367 + 104 part	185423	42951	42951	14408	14283
