Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
abyss_ctg	132	89	3040616	3031704	103	244957	3037780	2903081	32.93	32.73	64963	73887	38351	39976	70	73	8 + 14 part	111168	90.689	1.106	0.00	860.08	62.48	2465 + 67 part	187397	42776	49061	22162	27300
cabog_ctg	56	56	2796508	2796508	56	285328	2796508	2903081	32.73	32.73	111165	102839	56580	53749	91	66	5 + 9 part	29513	89.919	1.061	0.00	854.49	73.01	2455 + 57 part	172651	45901	45835	26603	22156
mira_ctg	256	68	2890706	2825994	209	379101	2884172	2903081	32.80	32.73	132448	132448	50006	50006	86	82	115 + 18 part	113476	90.560	1.055	4.02	866.68	60.64	2472 + 64 part	187515	49345	49345	31356	31356
msrca_ctg	52	35	2896852	2889489	52	449789	2896852	2903081	32.86	32.73	221821	221821	123428	123428	77	80	7 + 15 part	94305	90.436	1.068	0.00	889.08	59.20	2473 + 57 part	187458	70865	70865	34865	34865
sga_ctg	1921	130	3024925	2774031	259	173010	2820633	2903081	32.67	32.73	39954	38102	28545	23344	45	49	77 + 34 part	114429	89.505	1.040	0.00	830.88	41.26	2384 + 85 part	137514	32628	32014	16865	15924
soap_ctg	278	48	2856225	2820329	70	364183	2828161	2903081	32.70	32.73	146332	146332	92436	53313	71	82	18 + 9 part	70851	90.069	1.055	0.00	864.29	54.12	2453 + 54 part	187397	79978	79978	33715	32354
spades_ctg	72	40	2861974	2851518	68	350174	2861578	2903081	32.79	32.73	187080	187080	105739	105739	81	84	27 + 6 part	33715	90.561	1.074	1.99	869.14	53.56	2477 + 53 part	187456	70865	70865	35824	34865
velvet_ctg	82	57	2829571	2822704	70	336190	2827522	2903081	32.73	32.73	122507	122507	52580	49888	72	82	13 + 8 part	70763	90.221	1.051	0.00	873.87	59.34	2463 + 61 part	187397	64058	57767	33070	32712
abyss_ctg__2	338	121	4115424	4065299	206	280277	4104510	2903081	47.56	32.73	94508	119666	58395	91944			206 + 0 part	4104510			100.50								
cabog_ctg__2	128	127	3855763	3855600	127	256726	3855600	2903081	47.53	32.73	61249	75899	29636	45456			127 + 0 part	3855600			0.00								
