ID or #		Start	End
============================
gene3		2388	3080
gene4		3190	3384
gene5		3868	4035
gene6		4500	5117
gene7		5136	5483
gene8		5904	6847
gene9		6971	7390
gene10		7916	8761
gene11		8868	10625
gene12		10615	10995
gene13		11259	11837
gene14		12060	12245
gene16		13350	13921
gene17		14197	14991
gene18		15084	15614
gene19		15611	16246
gene21		17091	17294
gene22		17308	18045
gene23		18038	18958
gene24		19083	19964
gene25		19961	20326
gene27		21544	23010
gene28		23109	24008
gene29		24494	25102
gene30		25348	25680
gene31		25692	25877
gene32		26104	26847
gene0		544	1905
gene1		2183	3316
gene2		3697	3942
gene3		3939	5051
gene4		5061	6995
gene5		7032	9695
gene6		9782	10612
gene7		10920	12434
gene8		12813	14099
gene9		14749	15444
gene10		15441	15770
gene11		16133	17101
gene12		17392	18330
gene13		18345	20312
gene14		20309	20755
gene15		20787	22187
gene16		22465	23748
gene17		24178	24252
gene18		24260	24332
gene19		24946	25653
gene20		25666	27492
gene21		27485	28819
gene22		28820	29608
gene23		29998	30798
gene24		30984	33344
gene25		33712	34191
gene26		34474	35769
gene27		35877	36551
gene28		36587	36976
gene29		37074	37304
gene30		37813	38556
gene31		38653	39081
gene32		39127	41133
gene33		41305	42219
gene34		42143	42451
gene35		42442	43965
gene36		44101	44610
gene37		44622	44933
gene38		44935	45027
gene39		45020	45370
gene40		45892	47520
gene41		47542	48891
gene42		49125	50912
gene43		50912	51202
gene44		51299	52390
gene45		53063	54553
gene46		55177	56181
gene47		56300	56437
gene48		56434	56805
gene49		56934	57554
gene50		58471	58641
gene51		59043	60008
gene52		60105	60296
gene53		60388	60717
gene54		60794	61162
gene55		61393	61560
gene56		61724	62533
gene57		62553	62735
gene58		63046	63543
gene59		63731	63859
gene60		64071	65168
gene61		65423	65647
gene62		65661	66164
gene63		66180	66506
gene64		66493	66585
gene65		66578	66928
gene66		67885	68736
gene67		68836	69765
gene68		69785	70783
gene69		70821	71510
gene70		71552	72973
gene71		73059	74294
gene72		74563	75009
gene73		75511	75942
gene74		76019	76171
gene75		76215	76888
gene76		77076	77891
gene77		78378	79391
gene78		79651	80343
gene79		80340	81893
gene80		81896	82852
gene81		82852	83619
gene82		83586	84353
gene83		84346	84981
gene84		85681	85881
gene85		86040	88064
gene86		88082	88627
gene87		88819	88956
gene88		89392	91139
gene90		91701	91799
gene91		91900	92655
gene92		92655	92915
gene93		93052	94119
gene94		94150	95484
