Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
V.cholerae_MiSeq_cabog-msrca.gam	95	95	3930013	3930013	95	262422	3930013	4033464	47.52	47.49	105464	105464	56337	47612	16	8	1 + 2 part	5249	97.079	1.009	0.00	8.94	3.70	3540 + 58 part	262422	105464	93400	53733	47043
V.cholerae_sga-sga.gam	2596	285	4171725	3844703	485	108154	3932738	4033464	47.52	47.49	23703	23429	11551	10978	5	0	1 + 1 part	808	96.541	1.003	0.00	3.18	2.59	3358 + 180 part	108154	23677	23399	11551	10978
V.cholerae_MiSeq_abyss-sga.gam	546	137	3960114	3874787	249	207290	3928575	4033464	47.53	47.49	66365	64686	33393	30358	3	0	2 + 0 part	1062	96.602	1.001	0.00	3.26	2.67	3470 + 52 part	207290	66365	64686	31082	29581
V.cholerae_MiSeq_spades-abyss.gam	1483	71	4448309	3987727	1472	741022	4446593	4033464	46.24	47.49	246623	262160	77564	136216	7	4	1339 + 8 part	442574	98.514	1.005	5.06	4.91	3.25	3645 + 28 part	741022	246623	246623	71723	106531
V.cholerae_abyss-sga.gam	338	121	4115424	4065299	206	280277	4104510	4033464	47.56	47.49	94508	94508	58395	59821	7	18	2 + 0 part	974	97.509	1.054	100.50	5.21	5.72	3540 + 55 part	246076	92996	92996	52122	53661
V.cholerae_MiSeq_msrca-cabog.gam	132	107	4009440	3992547	132	302918	4009440	4033464	47.47	47.49	116700	116700	64880	64880	18	6	0 + 1 part	37	97.799	1.021	0.00	7.28	3.40	3600 + 56 part	302918	110446	110446	57036	57036
V.cholerae_MiSeq_spades-sga.gam	1486	73	4451154	3990044	1475	741022	4449438	4033464	46.24	47.49	246623	262160	77564	136216	7	4	1339 + 8 part	442574	98.514	1.005	5.10	4.91	3.25	3645 + 28 part	741022	246623	246623	71723	106531
V.cholerae_velvet-spades.gam	325	183	3939751	3894214	261	157783	3931494	4033464	47.50	47.49	40877	40085	22754	20673	6	8	2 + 3 part	1069	96.891	1.011	0.00	4.48	4.89	3431 + 134 part	157783	40877	39468	21355	19422
V.cholerae_MiSeq_msrca-msrca.gam	173	142	4034988	4014349	173	255146	4034988	4033464	47.46	47.49	76131	76131	45736	45736	20	5	0 + 2 part	92	97.667	1.024	0.00	6.42	3.22	3587 + 68 part	255146	71589	71589	45141	45141
V.cholerae_MiSeq_cabog-abyss.gam	93	93	3925896	3925896	93	262936	3925896	4033464	47.52	47.49	158290	158290	65695	62473	15	7	1 + 2 part	5249	97.016	1.008	0.00	8.23	3.55	3543 + 53 part	262422	151766	151766	65695	60617
