Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B_cereus_MiSeq_abyss-cabog_mix	47	47	6317490	6317490	47	803998	6317490	5432652	35.37	35.50	258489	298203	132589	201670	20	12	0 + 0 part	0	99.274	1.173	26.13	4.12	5.36	5942 + 56 part	552890	201670	216022	126422	149688
B_cereus_MiSeq_abyss-mira_mix	87	47	6250384	6244976	50	552883	6246788	5432652	35.30	35.50	270064	288136	152434	177007	27	24	0 + 0 part	0	98.831	1.172	70.60	4.73	5.03	5909 + 46 part	429241	189833	210429	90934	135296
B_cereus_MiSeq_abyss-msrca_mix	48	45	6294149	6292471	48	952292	6294149	5432652	35.29	35.50	337861	429164	209762	246697	27	16	0 + 0 part	0	99.002	1.174	15.67	9.18	3.83	5954 + 40 part	766822	214136	246697	170645	209762
B_cereus_MiSeq_abyss-sga_mix	212	68	5401523	5380678	86	587158	5388137	5432652	35.32	35.50	138417	135613	88955	84405	19	27	1 + 0 part	210	98.451	1.011	102.28	4.60	6.38	5821 + 73 part	467375	130570	130570	69698	69698
B_cereus_MiSeq_abyss-soap_mix	76	55	5579756	5572523	71	700546	5578890	5432652	35.34	35.50	380728	380728	97012	109520	7	23	1 + 0 part	2316	98.384	1.047	10.95	10.42	3.07	5843 + 49 part	700543	246346	246346	83026	97012
B_cereus_MiSeq_abyss-velvet_mix	188	63	5569935	5553207	77	712075	5558335	5432652	35.34	35.50	170585	211946	96174	99119	26	31	0 + 0 part	0	98.542	1.042	98.50	5.42	8.93	5817 + 75 part	426838	126820	126820	69698	70641
B_cereus_MiSeq_cabog-mira_mix	58	57	5486781	5486356	58	549045	5486781	5432652	35.42	35.50	169052	169052	97362	126422	18	7	0 + 0 part	0	99.338	1.018	0.62	5.91	2.56	5935 + 60 part	413089	155352	155352	81450	81450
B_cereus_MiSeq_cabog-msrca_mix	38	35	5456134	5454050	38	1066664	5456134	5432652	35.37	35.50	487570	487570	246697	246697	19	9	0 + 0 part	0	98.957	1.018	0.00	7.74	2.73	5953 + 36 part	755465	412745	412745	209762	209762
B_cereus_MiSeq_cabog-sga_mix	77	76	5419065	5418640	77	258489	5419065	5432652	35.41	35.50	155352	155352	81015	81015	8	6	0 + 0 part	0	99.323	1.007	0.00	4.84	2.43	5933 + 65 part	258489	150479	150479	76333	76333
B_cereus_MiSeq_cabog-soap_mix	62	47	5392891	5388174	58	735341	5392225	5432652	35.32	35.50	380728	380728	156953	156953	8	21	1 + 0 part	2316	98.643	1.010	0.00	10.24	3.64	5876 + 40 part	606357	288209	288209	109524	109524
B_cereus_MiSeq_cabog-velvet_mix	75	74	5432487	5432062	75	258489	5432487	5432652	35.40	35.50	158295	158295	81015	81015	9	7	0 + 0 part	0	99.322	1.009	0.00	5.73	2.48	5934 + 64 part	258489	150479	150479	81015	81015
B_cereus_MiSeq_mira-msrca_mix	36	35	5460995	5460118	36	1024103	5460995	5432652	35.39	35.50	412808	412808	209762	209762	15	9	0 + 0 part	0	98.754	1.021	0.64	7.21	3.19	5929 + 36 part	768873	264980	264980	177353	177353
B_cereus_MiSeq_mira-sga_mix	95	84	5463506	5459591	90	347035	5463092	5432652	35.38	35.50	168916	168916	74370	75037	20	12	0 + 0 part	0	98.880	1.026	1.78	3.54	2.23	5907 + 82 part	324905	102705	102705	54314	59454
B_cereus_MiSeq_mira-soap_mix	54	44	5579795	5576231	52	636045	5579476	5432652	35.33	35.50	493841	493841	198745	207173	12	21	1 + 0 part	2316	98.523	1.046	0.38	10.84	2.78	5868 + 40 part	607372	266505	266505	90985	99331
B_cereus_MiSeq_mira-velvet_mix	94	83	5469675	5465760	89	380663	5469261	5432652	35.38	35.50	168916	168916	75037	75037	27	10	0 + 0 part	0	98.880	1.022	1.77	3.69	2.16	5902 + 87 part	311769	97326	100038	52231	52231
B_cereus_MiSeq_msrca-sga_mix	57	51	5419394	5416327	57	766822	5419394	5432652	35.38	35.50	246697	246697	177353	170659	11	10	0 + 0 part	0	99.011	1.010	0.00	8.92	3.63	5957 + 37 part	766822	246697	246697	177353	170659
B_cereus_MiSeq_msrca-soap_mix	47	42	5407179	5404989	47	1157774	5407179	5432652	35.37	35.50	487570	487570	183530	183530	10	16	0 + 0 part	0	98.962	1.008	0.00	11.25	3.76	5946 + 39 part	1157128	487570	487570	183530	183530
B_cereus_MiSeq_msrca-velvet_mix	48	43	5414623	5412277	48	766822	5414623	5432652	35.38	35.50	311165	311165	177353	177353	15	11	0 + 0 part	0	99.075	1.009	0.00	8.68	3.86	5955 + 39 part	766822	246697	246697	144419	144419
