Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B.fragilis_cabog-velvet.gam	100	98	5221035	5220661	99	382042	5220894	5373121	43.41	43.42	115942	115942	59269	57899	107	50	19 + 12 part	397727	79.745	1.127	0.00	665.50	59.44	3335 + 124 part	185390	41944	39592	13162	9291
B.fragilis_cabog-soap.gam	105	103	5219890	5219516	104	363813	5219749	5373121	43.41	43.42	112079	112079	57899	53291	109	50	20 + 13 part	402067	79.720	1.126	0.00	664.05	62.80	3331 + 128 part	185390	41944	39592	12705	8464
B.fragilis_soap-spades.gam	278	79	5307472	5259226	157	640046	5290418	5373121	43.48	43.42	157444	141578	95955	89422	110	51	74 + 9 part	334396	80.216	1.148	0.70	667.27	30.72	3362 + 106 part	185821	44100	44083	14408	13166
B.fragilis_velvet-sga.gam	203	116	5286919	5255454	178	286976	5282519	5373121	43.48	43.42	125214	125214	60945	60198	102	49	89 + 14 part	428140	80.076	1.127	0.00	663.22	31.27	3361 + 105 part	185610	42686	41457	14283	12117
B.fragilis_spades-velvet.gam	147	84	5331771	5303001	142	534462	5331091	5373121	43.46	43.42	157795	157795	87141	87141	110	51	77 + 15 part	417149	80.270	1.138	7.93	667.12	32.25	3369 + 102 part	185423	43492	42951	14057	13202
B.fragilis_soap-abyss.gam	356	109	5317969	5256044	222	385019	5298776	5373121	43.48	43.42	130112	130112	58562	56991	98	49	96 + 17 part	462514	80.133	1.121	0.00	663.81	31.42	3360 + 106 part	185821	43184	42686	12650	11607
B.fragilis_velvet-cabog.gam	192	96	5286656	5253202	166	383905	5282066	5373121	43.48	43.42	133996	133996	70735	63670	106	48	88 + 11 part	406615	80.137	1.131	0.00	666.20	36.75	3366 + 102 part	185610	43409	42686	14408	13162
B.fragilis_msrca-mira.gam	113	97	5391919	5382806	113	391846	5391919	5373121	43.45	43.42	158716	158716	82479	82479	124	51	23 + 16 part	349453	80.497	1.166	0.00	684.59	30.40	3376 + 104 part	185930	42635	42686	11876	11977
B.fragilis_cabog-msrca.gam	110	108	5218545	5218171	109	363813	5218404	5373121	43.42	43.42	104431	97972	53291	53107	112	50	21 + 13 part	385720	79.703	1.130	0.00	664.65	60.99	3325 + 132 part	182457	39033	37679	11604	8144
B.fragilis_mira-abyss.gam	533	104	5630032	5497892	392	378585	5610108	5373121	43.45	43.42	144537	151787	84346	89207	141	53	232 + 54 part	543582	80.421	1.172	4.94	671.23	31.39	3376 + 107 part	188970	43594	44907	13166	16069
B.fragilis_sga-msrca.gam	1628	142	5489017	5273830	276	389114	5320251	5373121	43.43	43.42	87987	87987	39725	39389	93	49	105 + 33 part	476047	80.133	1.124	0.00	668.05	27.25	3349 + 113 part	133856	33783	33777	9764	9292
B.fragilis_mira-spades.gam	507	98	5425857	5304804	366	428639	5405933	5373121	43.45	43.42	157699	157699	87176	87176	144	52	210 + 53 part	458355	80.439	1.144	4.98	671.03	33.23	3377 + 106 part	188970	44083	44083	13166	13208
B.fragilis_mira-sga.gam	503	100	5423638	5303039	362	384689	5403714	5373121	43.44	43.42	141884	157699	87176	87176	143	52	207 + 53 part	458196	80.440	1.144	5.05	670.80	32.96	3377 + 106 part	188970	44083	44083	13166	13208
B.fragilis_cabog-abyss.gam	96	94	5225006	5224632	95	383903	5224865	5373121	43.42	43.42	116083	115942	59509	57899	112	48	20 + 12 part	397966	79.789	1.127	0.00	662.67	61.00	3345 + 115 part	185390	41944	41179	13332	10147
B.fragilis_velvet-spades.gam	175	85	5288140	5256764	146	534277	5283000	5373121	43.48	43.42	151491	151491	89408	86884	106	51	75 + 11 part	404910	80.127	1.131	0.55	664.43	31.90	3363 + 105 part	185610	43390	43209	15078	13208
B.fragilis_sga-cabog.gam	1720	120	5492232	5251605	284	343314	5310453	5373121	43.42	43.42	91674	91674	48349	47517	96	50	142 + 22 part	469843	80.098	1.124	0.00	666.02	57.64	3352 + 108 part	185360	37679	37272	12481	10187
B.fragilis_sga-velvet.gam	1378	116	5425844	5248820	198	287018	5283362	5373121	43.46	43.42	118755	116306	60254	59558	100	49	90 + 18 part	432130	80.087	1.126	0.00	662.64	32.80	3360 + 102 part	185428	39027	38874	13208	11178
B.fragilis_soap-velvet.gam	325	106	5309617	5253759	204	384109	5292581	5373121	43.48	43.42	134010	134010	65357	63684	102	49	102 + 13 part	438854	80.123	1.126	0.00	664.01	29.34	3361 + 104 part	185821	43184	42686	13429	12492
