Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
X.axonopodis_spades-msrca.gam	433	107	5013733	4947264	173	321965	4982878	4967469	65.03	64.92	118249	118249	63845	63845	27	66	128 + 13 part	1284783	20.565	3.620	4.01	4195.82	136.33	812 + 76 part	46289	None	None	None	None
X.axonopodis_mira-velvet.gam	2960	466	6620395	5584710	2746	352831	6585661	4967469	63.89	64.92	72965	111040	5677	58443	28	65	2536 + 28 part	2897393	20.424	3.621	18.04	4143.75	139.18	787 + 150 part	46289	None	None	None	None
X.axonopodis_cabog-mira.gam	183	86	4849525	4838469	94	312406	4840790	4967469	65.18	64.92	107676	105803	58882	55276	27	67	44 + 16 part	1309255	19.928	3.568	0.04	4181.78	144.40	787 + 77 part	46286	None	None	None	None
X.axonopodis_mira-sga.gam	2959	471	6608214	5573939	2746	352831	6573679	4967469	63.88	64.92	72965	105619	5514	58443	27	62	2534 + 29 part	3057897	20.432	3.449	18.09	4145.76	142.16	786 + 152 part	46289	None	None	None	None
X.axonopodis_msrca-soap.gam	151	97	4934520	4902433	151	322669	4934520	4967469	65.07	64.92	117883	117883	61875	61875	24	62	105 + 15 part	1316366	20.064	3.630	0.00	4256.99	146.85	795 + 70 part	46289	None	None	None	None
X.axonopodis_soap-msrca.gam	1933	104	5177856	4892519	158	322201	4914312	4967469	65.10	64.92	116926	116926	61858	58283	27	64	106 + 17 part	1370782	20.130	3.544	0.00	4223.06	139.77	793 + 76 part	46289	None	None	None	None
X.axonopodis_mira-abyss.gam	2942	464	6612874	5588469	2729	387779	6578338	4967469	63.88	64.92	72965	115419	5677	61612	27	65	2522 + 26 part	2919999	20.425	3.591	18.24	4145.57	139.14	787 + 150 part	46289	None	None	None	None
X.axonopodis_spades-cabog.gam	445	112	5013414	4943121	183	312376	4982217	4967469	65.03	64.92	117467	117467	63843	63843	27	66	136 + 14 part	1289985	20.488	3.628	4.84	4182.97	138.18	811 + 76 part	46289	None	None	None	None
X.axonopodis_sga-mira.gam	84452	133	13521805	4828302	201	321847	4860120	4967469	65.15	64.92	90769	87608	43957	43685	22	55	129 + 33 part	1768959	19.928	3.117	0.68	4156.85	143.72	781 + 80 part	48599	None	None	None	None
X.axonopodis_soap-mira.gam	1963	117	5194216	4909198	161	387615	4926655	4967469	65.10	64.92	110714	108494	54773	54773	25	64	107 + 20 part	1604115	20.435	3.273	0.39	4154.18	140.82	810 + 78 part	46289	None	None	None	None
