All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                  # contigs (>= 0 bp)  # contigs (>= 1000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    # misassemblies  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50   NGA50  NA75   NGA75
B_fragilis_AB_SP_mix      225                  102                     5291881                 5256155                    120        384109          5268102       5373121           43.45   43.42             130112  130112  60212   58562   101              49                     38 + 15 part         393429                    80.258               1.131              0.00               665.30                    31.56                 3368 + 108 part  185821             43464  42686  13266  11607
B_fragilis_AB_MS_mix      57                   55                      5529643                 5528628                    56         638525          5529152       5373121           43.54   43.42             246234  246234  115382  149072  121              52                     10 + 6 part          296540                    78.197               1.246              0.00               686.25                    35.65                 3292 + 95 part   185930             44083  44518  13208  16128
B_fragilis_MS_SP_mix      71                   67                      5147594                 5144681                    70         579813          5147103       5373121           43.44   43.42             158716  158716  82479   73703   123              48                     12 + 8 part          360427                    77.189               1.154              0.00               685.63                    30.07                 3222 + 102 part  185930             41852  38481  11876  6678 
B_fragilis_MS_SPD_mix     60                   57                      5285208                 5283201                    59         574707          5284717       5373121           43.48   43.42             204192  204192  98412   98412   115              51                     11 + 5 part          327154                    79.032               1.168              0.45               684.01                    28.49                 3321 + 99 part   185930             44100  44083  14497  13166
B_fragilis_AB_MS_SP_mix   66                   64                      5290802                 5289787                    65         585280          5290311       5373121           43.51   43.42             195008  191139  87314   82479   110              50                     10 + 8 part          346430                    79.367               1.160              0.00               679.38                    28.37                 3338 + 93 part   185930             44100  44083  13954  10789
B_fragilis_AB_MS_SPD_mix  60                   59                      5823934                 5823410                    60         687099          5823934       5373121           43.51   43.42             195008  204192  114453  135173  140              50                     12 + 5 part          348564                    78.845               1.293              1.55               680.48                    29.27                 3314 + 94 part   185930             44083  46629  16011  23264
abyss_ctg                 168                  141                     7041280                 7031322                    149        419237          7036707       5373121           43.43   43.42             106769  146158  56017   92833   166              55                     34 + 18 part         548300                    80.532               1.497              3.40               662.59                    36.77                 3385 + 102 part  186153             38481  50798  12615  30333
soap_ctg                  402                  118                     5314517                 5241412                    149        384109          5262789       5373121           43.47   43.42             125627  116105  58562   56336   96               48                     59 + 16 part         443860                    80.029               1.120              0.00               663.39                    29.07                 3359 + 106 part  185821             42686  41464  13166  11178
msrca_ctg                 119                  102                     5396385                 5386876                    109        391846          5392427       5373121           43.45   43.42             158716  158716  74628   74628   121              51                     19 + 15 part         378130                    80.497               1.160              0.00               685.06                    29.39                 3375 + 105 part  185930             42218  42218  11177  11876
spades_ctg                151                  86                      5332156                 5302376                    110        534462          5319487       5373121           43.47   43.42             157732  157732  86371   86371   110              51                     46 + 15 part         406593                    80.269               1.138              8.25               666.90                    32.02                 3368 + 103 part  185423             43492  42951  14283  13202
GAM_abyss-soap            154                  130                     6977551                 6968183                    138        419237          6973568       5373121           43.42   43.42             106769  150854  56529   98572   162              58                     32 + 15 part         504060                    80.517               1.493              3.41               660.75                    36.50                 3384 + 102 part  186153             41192  50798  12633  30344
GAM_msrca-spades          107                  90                      5385807                 5376298                    97         391846          5381849       5373121           43.45   43.42             187353  187353  82479   82479   119              51                     19 + 13 part         376591                    80.503               1.157              0.04               684.33                    30.75                 3377 + 104 part  185930             44083  44083  13166  13166
GAM_soap-msrca            312                  93                      5310642                 5257832                    113        384109          5271410       5373121           43.47   43.42             141306  132467  73417   65357   100              49                     38 + 15 part         385328                    80.142               1.134              0.00               666.45                    31.23                 3364 + 103 part  185821             43464  43390  14033  11802
GAM_spades-msrca          138                  78                      5331095                 5304765                    98         534462          5318654       5373121           43.47   43.42             187954  187954  105708  98154   112              52                     44 + 13 part         404375                    80.305               1.138              7.92               669.83                    32.26                 3372 + 99 part   185423             43492  42951  14652  13632
