ID or #		Start	End
============================
gene0		223	1593
gene1		1677	2780
gene2		2783	3886
gene3		3883	6294
gene24		29373	29448
gene25		29469	29554
gene26		29628	29704
gene65		73217	74872
gene66		75002	75733
gene67		75855	77033
gene68		77107	78231
gene69		78228	78737
gene70		78800	79102
gene71		79107	80180
gene72		80145	81047
gene73		81312	83147
gene74		83265	84059
gene75		84078	84569
gene111		123496	124422
gene112		124487	125590
gene113		126044	127048
gene114		127118	128437
gene115		128440	130026
gene116		130311	131018
gene117		131099	132625
gene118		132796	134283
gene119		134280	135446
gene120		135498	135839
gene121		135961	137178
gene122		137466	138692
gene202		220152	220227
gene203		220249	220368
gene204		220520	221485
gene205		221807	224881
gene206		224878	225333
gene207		225436	226881
gene208		226910	227296
gene209		227463	228899
gene210		229111	230082
gene211		230140	232290
gene212		232655	233377
gene213		233431	234267
gene214		234317	235444
gene215		235564	236469
gene216		236526	237491
gene217		237494	238609
gene218		238692	240272
gene219		240356	241459
gene223		246810	247247
gene225		248027	249187
gene236		256511	257545
gene293		321231	322955
gene294		323086	323517
gene295		323565	324035
gene296		324038	325042
gene297		325126	325704
gene298		325785	326513
gene299		326550	327314
gene300		327386	327619
gene301		327621	328418
gene302		328514	328792
gene303		328848	331352
gene304		331424	331897
gene305		332134	332853
gene306		332859	334160
gene307		334196	335110
gene308		335374	335778
gene309		335801	336433
gene310		336451	337056
gene311		337053	337355
gene312		337371	338192
gene313		338215	338493
gene314		338504	338848
gene315		338852	339565
gene316		339579	339992
gene317		339989	340183
gene318		340183	340431
gene319		340579	340947
gene320		340959	341276
gene321		341290	341829
gene322		341840	342145
gene323		342167	342559
gene324		342573	343106
gene325		343116	343469
gene326		343484	343984
gene327		343991	344170
gene328		344173	344610
gene329		344619	345947
gene330		346228	346584
gene331		346599	346988
gene332		347028	347648
gene333		347674	348663
gene334		348707	349090
gene338		354966	355085
gene400		422371	423411
gene401		423454	424359
gene402		424359	424844
gene403		424896	425483
gene404		425670	427139
gene405		427170	431039
gene406		431074	431394
gene407		431423	432229
gene408		432389	433828
gene447		479239	479820
gene574		609750	610109
gene577		612042	613226
gene578		613223	613714
gene579		613776	614531
gene580		614592	615503
gene583		617780	618340
gene584		618378	619190
gene585		619602	620873
gene586		620947	621285
gene587		621370	622122
gene588		622158	622481
gene589		622690	623853
gene591		626974	629607
gene592		629823	630968
gene593		631237	632244
gene594		632268	633047
gene595		632968	633984
gene737		786751	787707
gene738		787858	788955
gene740		792493	793254
gene773		829745	830995
gene774		831027	831848
gene775		832001	832606
gene776		832876	836040
gene777		836241	837020
gene778		837040	838230
gene779		838411	839340
gene780		839390	840400
gene781		840463	841626
gene782		841743	842822
gene783		843043	844347
gene793		851151	852758
gene794		852941	853522
gene795		853545	854135
gene796		854071	855135
gene797		855229	855690
gene798		855811	857604
gene799		857608	858531
gene800		858532	859203
gene801		859200	860099
gene802		860100	860807
gene803		860970	861707
gene804		861793	863703
gene805		863806	864660
gene806		864651	865850
gene807		865851	866348
gene808		866332	867210
gene809		867200	867976
gene810		867992	868465
gene811		868465	869634
gene812		869647	870960
gene813		871233	872030
gene890		959593	961746
gene891		961816	963018
gene892		963321	963761
gene893		963817	964317
gene894		964732	965196
gene956		1033429	1033617
gene965		1041907	1042935
gene966		1042935	1043774
gene967		1043943	1044455
gene968		1044452	1045009
gene969		1045080	1045484
gene970		1045524	1046075
gene971		1046136	1047104
gene972		1047293	1049386
gene1115		1210105	1210192
gene1213		1322406	1323032
gene1214		1323129	1325237
gene1215		1325445	1326608
gene1216		1326608	1326979
gene1217		1326976	1328037
gene1218		1328094	1328639
gene1342		1457945	1458020
gene1343		1458106	1458846
gene1344		1459315	1459968
gene1345		1460017	1462341
gene1346		1462512	1465574
gene1347		1465590	1466636
gene1348		1466702	1468141
gene1349		1468305	1469168
gene1350		1469509	1470477
gene1351		1470777	1472135
gene1352		1472159	1472866
gene1360		1494796	1496124
gene1414		1547223	1548329
gene1431		1568050	1568199
gene1432		1568276	1568974
gene1433		1569022	1570221
gene1434		1570336	1571226
gene1435		1571429	1572682
gene1554		1702438	1702522
gene1613		1763792	1763980
gene1614		1764129	1764446
gene1615		1764617	1766773
gene1616		1766813	1768171
gene1617		1768357	1768740
gene1618		1768763	1770052
gene1619		1770111	1770764
gene1620		1770909	1771496
gene1623		1773110	1773478
gene1624		1773602	1775185
gene1629		1779684	1780187
gene1630		1780298	1781146
gene1631		1781169	1782368
gene1632		1782480	1782947
gene1633		1782988	1783143
gene1634		1783225	1783695
gene1784		1955468	1955555
gene1806		1974152	1974745
gene1807		1974995	1975687
gene1808		1975781	1977451
gene1809		1977547	1977831
gene1810		1977988	1978272
gene1825		1990515	1991033
gene1850		2026838	2026913
gene1852		2027076	2027152
gene1874		2050033	2050992
gene1875		2050995	2052560
gene1876		2052681	2053715
gene1877		2053911	2054591
gene1878		2054595	2054831
gene1955		2143564	2145837
gene1975		2169516	2170274
gene1976		2170375	2171301
gene1977		2171525	2172613
gene1978		2172701	2174068
gene1979		2174282	2175337
gene1980		2175425	2177035
gene1981		2177274	2178653
gene1982		2178725	2180089
gene1983		2180197	2181126
gene1984		2181265	2181684
gene1985		2181684	2182439
gene1986		2182442	2183245
gene1988		2185831	2187294
gene1989		2187378	2188967
gene1990		2189196	2189618
gene2136		2339228	2340598
gene2137		2340876	2342258
gene2159		2367459	2369393
gene2160		2369822	2371009
gene2161		2371137	2372336
gene2162		2372460	2373677
gene2163		2373796	2375220
gene2164		2375316	2376248
gene2165		2376431	2377354
gene2166		2377424	2379016
gene2167		2379036	2379884
gene2168		2379865	2380518
gene2169		2380939	2384049
gene2170		2384080	2385408
gene2171		2385489	2386265
gene2172		2386265	2389159
gene2173		2389255	2390772
gene2174		2390797	2392113
gene2175		2392395	2393771
gene2176		2394101	2396419
gene2177		2396412	2397290
gene2178		2397287	2397772
gene2179		2398305	2401523
gene2180		2401661	2402206
gene2181		2402710	2402898
gene2182		2402958	2404484
gene2329		2576258	2579005
gene2330		2579156	2579923
gene2386		2639183	2639259
gene2387		2639357	2639433
gene2388		2639530	2639606
gene2389		2639703	2639779
