Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
B.cereus_MiSeq_msrca-mira.gam	74	50	5431544	5420546	74	768188	5431544	5432652	35.41	35.50	337861	337861	177353	177353	14	11	0 + 0 part	0	99.035	1.011	0.07	7.36	3.33	5962 + 37 part	768188	246697	246697	170659	170659
B.cereus_MiSeq_sga-soap.gam	3055	81	6157084	5343977	3046	498871	6155433	5432652	37.09	35.50	121393	152306	44499	75036	22	18	4 + 29 part	3413	98.549	1.041	0.00	3.53	2.26	5912 + 72 part	498871	121393	152242	44499	75036
B.cereus_MiSeq_spades-msrca.gam	50043	57	17886058	5385665	49920	607428	17870432	5432652	37.73	35.50	251	215219	250	105260	15	12	41518 + 724 part	10462090	98.888	1.375	0.96	14.89	3.82	5936 + 40 part	607428	None	215219	None	99370
B.cereus_velvet-velvet.gam	527	251	5016338	4944132	377	267159	4993552	5432652	35.50	35.50	44126	38930	20550	14779	0	1	319 + 28 part	4876369	0.709	2.829	0.00	4044.79	143.01	56 + 8 part	10326	None	None	None	None
B.cereus_MiSeq_msrca-velvet.gam	77	49	5431300	5417836	77	768188	5431300	5432652	35.40	35.50	246697	246697	177353	177353	12	11	0 + 0 part	0	99.014	1.010	0.00	8.92	3.42	5962 + 37 part	768188	246697	246697	177353	177353
B.cereus_MiSeq_mira-cabog.gam	131	65	5424359	5392304	120	392037	5423242	5432652	35.43	35.50	161612	161612	92252	92252	14	14	4 + 4 part	3764	99.112	1.012	3.49	4.42	2.43	5943 + 60 part	391974	155381	155381	81450	81450
B.cereus_msrca-mira.gam	259	180	5640375	5602907	250	397830	5639383	5432652	35.22	35.50	97165	103595	31702	40080	10	2	183 + 49 part	5554719	0.866	1.737	0.00	3035.85	278.63	114 + 20 part	9186	None	None	None	None
B.cereus_MiSeq_abyss-abyss.gam	617	82	5431491	5376981	115	430487	5388694	5432652	35.32	35.50	130570	130570	69698	65667	3	26	1 + 0 part	210	98.513	1.010	102.27	6.60	8.00	5816 + 77 part	430487	130570	130570	69698	65667
B.cereus_mira-cabog.gam	687	437	5670388	5517018	677	524448	5668940	5432652	35.22	35.50	43373	47354	14872	18696	7	1	541 + 66 part	5549358	1.657	1.333	4.82	3333.22	130.97	119 + 85 part	5197	None	None	None	None
B.cereus_MiSeq_sga-velvet.gam	3175	204	6158040	5345087	3166	116460	6156389	5432652	37.09	35.50	37812	42496	16404	22855	23	14	4 + 29 part	3413	98.447	1.037	0.00	2.69	2.15	5803 + 172 part	116460	37701	42381	16315	22855
B.cereus_cabog-abyss.gam	164	163	4797470	4796994	164	387299	4797470	5432652	34.97	35.50	79405	61625	31477	18467	4	0	123 + 37 part	4702547	0.588	2.971	0.00	3824.85	309.57	59 + 14 part	5194	None	None	None	None
B.cereus_velvet-spades.gam	527	251	5016338	4944132	377	267159	4993552	5432652	35.50	35.50	44126	38930	20550	14779	0	1	319 + 28 part	4876369	0.709	2.829	0.00	4044.79	143.01	56 + 8 part	10326	None	None	None	None
B.cereus_MiSeq_spades-sga.gam	50086	98	17887732	5387071	49963	346945	17872106	5432652	37.73	35.50	251	103691	250	57869	15	14	41518 + 724 part	10462090	98.838	1.376	1.27	15.57	2.85	5905 + 71 part	346882	None	103691	None	57817
B.cereus_MiSeq_velvet-velvet.gam	444	351	5325180	5295268	404	91844	5319276	5432652	35.30	35.50	24577	24465	13917	13213	4	11	1 + 4 part	2652	97.503	1.003	0.00	5.78	3.21	5552 + 325 part	91844	24577	24465	13801	13046
B.cereus_MiSeq_soap-soap.gam	123	73	5352193	5337776	105	606530	5349083	5432652	35.29	35.50	246346	246346	78462	74856	1	21	1 + 0 part	2316	98.106	1.003	0.00	8.97	2.98	5828 + 54 part	606357	246346	246346	78462	74856
B.cereus_MiSeq_msrca-cabog.gam	84	51	5435744	5419319	84	766822	5435744	5432652	35.41	35.50	246697	246697	170659	170659	13	10	0 + 0 part	0	99.106	1.011	0.00	8.77	2.60	5967 + 36 part	766822	246697	246697	170659	170659
B.cereus_MiSeq_velvet-sga.gam	282	202	5346024	5324699	242	116036	5340120	5432652	35.30	35.50	43151	43150	24465	23706	2	11	1 + 3 part	2581	97.888	1.003	0.00	6.02	3.25	5712 + 179 part	116036	43151	43150	24465	23131
B.cereus_sga-abyss.gam	30012	463	8771094	5397822	967	108975	5588248	5432652	35.16	35.50	22445	23414	10130	11069	1	1	924 + 30 part	5556425	0.545	1.069	0.00	3872.28	129.08	25 + 8 part	5197	None	None	None	None
B.cereus_cabog-spades.gam	164	163	4797470	4796994	164	387299	4797470	5432652	34.97	35.50	79405	61625	31477	18467	4	0	123 + 37 part	4702547	0.588	2.971	0.00	3824.85	309.57	59 + 14 part	5194	None	None	None	None
B.cereus_MiSeq_spades-spades.gam	50090	99	17888992	5385812	49967	346945	17873366	5432652	37.73	35.50	251	103691	250	57869	14	14	41518 + 724 part	10462090	98.837	1.376	1.29	15.64	2.89	5904 + 71 part	346882	None	103691	None	57817
B.cereus_MiSeq_spades-cabog.gam	50048	67	17883208	5385416	49925	607428	17867582	5432652	37.73	35.50	251	177372	250	95561	16	12	41518 + 724 part	10462090	98.890	1.374	0.83	15.49	3.07	5931 + 49 part	607428	None	168918	None	89722
B.cereus_cabog-msrca.gam	164	163	4797470	4796994	164	387299	4797470	5432652	34.97	35.50	79405	61625	31477	18467	4	0	123 + 37 part	4702547	0.588	2.971	0.00	3824.85	309.57	59 + 14 part	5194	None	None	None	None
B.cereus_msrca-sga.gam	259	180	5640375	5602907	250	397830	5639383	5432652	35.22	35.50	97165	103595	31702	40080	10	2	183 + 49 part	5554719	0.866	1.737	0.00	3035.85	278.63	114 + 20 part	9186	None	None	None	None
B.cereus_spades-spades.gam	1127	179	5962659	5678972	1043	459337	5952240	5432652	35.27	35.50	90150	97169	30765	48782	9	0	955 + 54 part	5871941	0.893	1.363	17.37	2937.14	216.75	94 + 19 part	9186	None	None	None	None
B.cereus_MiSeq_cabog-cabog.gam	78	77	5419995	5419570	78	258489	5419995	5432652	35.41	35.50	155352	155352	76333	76333	7	6	0 + 0 part	0	99.323	1.007	0.00	4.84	2.41	5934 + 64 part	258489	150479	150479	74529	74529
B.cereus_msrca-velvet.gam	259	180	5640375	5602907	250	397830	5639383	5432652	35.22	35.50	97165	103595	31702	40080	10	2	183 + 49 part	5554719	0.866	1.737	0.00	3035.85	278.63	114 + 20 part	9186	None	None	None	None
B.cereus_soap-spades.gam	3161	248	5991251	5573897	412	268115	5637793	5432652	35.20	35.50	54744	57933	21019	23414	3	1	363 + 33 part	5594472	0.700	1.122	0.00	3688.69	198.49	61 + 4 part	9186	None	None	None	None
B.cereus_MiSeq_soap-cabog.gam	90	47	5356077	5345195	72	700542	5352967	5432652	35.30	35.50	456635	456635	127207	127207	3	23	1 + 0 part	2316	98.415	1.003	0.00	10.68	3.33	5887 + 37 part	700539	455989	455989	127207	107147
B.cereus_MiSeq_velvet-mira.gam	194	122	5357699	5341096	154	291625	5351795	5432652	35.32	35.50	90980	90980	46052	45074	4	13	1 + 2 part	2460	98.283	1.003	0.47	7.38	2.73	5811 + 107 part	291625	89159	89159	46050	42607
B.cereus_MiSeq_sga-spades.gam	3062	106	6151969	5346745	3053	333525	6150318	5432652	37.09	35.50	77241	85108	32531	50785	23	14	4 + 29 part	3413	98.687	1.042	0.34	3.99	2.26	5895 + 92 part	333462	77241	81946	31842	50785
B.cereus_cabog-cabog.gam	164	163	4797470	4796994	164	387299	4797470	5432652	34.97	35.50	79405	61625	31477	18467	4	0	123 + 37 part	4702547	0.588	2.971	0.00	3824.85	309.57	59 + 14 part	5194	None	None	None	None
B.cereus_MiSeq_spades-abyss.gam	50063	73	17886860	5384219	49940	475983	17871234	5432652	37.73	35.50	251	129313	250	77912	14	20	41518 + 724 part	10462090	98.833	1.379	6.52	15.35	4.34	5918 + 57 part	475920	None	129242	None	77269
