Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
S_aureus_HiSeq_abyss-cabog_mix	50	50	2851907	2851907	50	285328	2851907	2903081	32.72	32.73	153356	153356	56580	53749	98	71	4 + 6 part	21921	90.269	1.081	0.00	861.87	69.56	2461 + 56 part	172651	45943	45901	26603	24159
S_aureus_HiSeq_abyss-mira_mix	98	45	2948998	2931037	96	380516	2948785	2903081	32.83	32.73	155512	155512	58097	60687	97	81	47 + 6 part	107166	90.618	1.082	2.00	869.88	51.59	2464 + 60 part	187515	56331	56331	30431	31712
S_aureus_HiSeq_abyss-sga_mix	87	76	2943500	2938592	85	244957	2943286	2903081	32.82	32.73	80142	80142	38433	38590	71	73	5 + 13 part	84803	90.551	1.089	0.00	860.67	59.12	2462 + 66 part	187397	49061	49061	23282	25810
S_aureus_HiSeq_abyss-soap_mix	122	45	2897682	2884197	60	364183	2888986	2903081	32.72	32.73	146332	146332	92436	61641	77	85	14 + 6 part	81775	90.254	1.073	0.00	866.72	54.43	2454 + 58 part	187397	79978	79978	33715	33070
S_aureus_HiSeq_abyss-spades_mix	52	30	2915205	2907762	51	489437	2915109	2903081	32.74	32.73	272524	272524	164126	164126	96	84	25 + 3 part	54683	90.840	1.087	1.23	867.38	58.82	2481 + 55 part	187397	70866	70866	34154	34154
S_aureus_HiSeq_abyss-velvet_mix	58	48	2856144	2852498	56	350326	2855788	2903081	32.74	32.73	123938	123938	64578	64578	78	80	9 + 5 part	77104	90.337	1.059	0.00	874.66	53.66	2467 + 59 part	187397	64416	64058	33070	32712
S_aureus_HiSeq_cabog-mira_mix	52	52	2844802	2844802	52	285328	2844802	2903081	32.73	32.73	153356	153356	56580	56580	92	72	2 + 9 part	27470	89.931	1.081	0.32	855.22	73.16	2455 + 58 part	172651	49049	45946	26603	24159
S_aureus_HiSeq_cabog-msrca_mix	34	31	2886637	2884860	34	449789	2886637	2903081	32.85	32.73	221821	221821	174868	123428	77	80	4 + 4 part	90119	90.386	1.067	0.00	889.42	59.50	2472 + 56 part	187458	70865	70865	36523	34865
S_aureus_HiSeq_cabog-sga_mix	54	54	2816304	2816304	54	285328	2816304	2903081	32.74	32.73	111165	102839	56580	53749	91	65	6 + 8 part	52612	89.806	1.061	0.00	850.24	72.95	2455 + 57 part	172651	45901	45835	26603	24159
S_aureus_HiSeq_cabog-soap_mix	51	51	2836080	2836080	51	349073	2836080	2903081	32.75	32.73	153356	153356	56580	53749	91	73	3 + 9 part	46518	89.970	1.070	0.00	855.05	72.05	2457 + 59 part	172651	45943	45943	25753	22156
S_aureus_HiSeq_cabog-spades_mix	55	32	3193884	3186103	54	433577	3193788	2903081	32.81	32.73	245398	245398	167149	172757	91	94	25 + 3 part	27007	90.427	1.207	1.28	870.95	59.88	2476 + 53 part	187456	82023	87161	36608	42776
S_aureus_HiSeq_cabog-velvet_mix	46	46	3059978	3059978	46	385003	3059978	2903081	32.70	32.73	177359	177359	62643	83312	96	77	3 + 8 part	46022	90.268	1.152	0.00	867.83	67.73	2468 + 57 part	172651	60867	64491	30426	35557
S_aureus_HiSeq_mira-msrca_mix	30	28	2886624	2885213	30	454417	2886624	2903081	32.87	32.73	221821	221821	175306	175306	75	81	3 + 4 part	92928	90.380	1.066	0.14	887.15	58.81	2475 + 51 part	187458	70865	70865	36614	34865
S_aureus_HiSeq_mira-sga_mix	122	54	2860809	2834549	120	379101	2860596	2903081	32.77	32.73	146765	146765	50093	50093	89	79	63 + 10 part	84554	90.590	1.058	2.52	869.36	60.70	2478 + 59 part	187515	56179	52166	31712	31356
S_aureus_HiSeq_mira-soap_mix	115	51	2859081	2834998	113	379101	2858868	2903081	32.77	32.73	155512	154220	89249	50093	98	79	65 + 8 part	81039	90.596	1.058	2.27	870.30	63.25	2476 + 57 part	187515	49189	49189	31356	30431
S_aureus_HiSeq_mira-spades_mix	53	30	2846773	2838992	52	364298	2846677	2903081	32.74	32.73	187080	187080	122608	122608	82	82	22 + 3 part	22010	90.411	1.077	1.37	871.34	56.09	2474 + 53 part	187456	70865	70865	35824	34865
S_aureus_HiSeq_mira-velvet_mix	114	50	3018142	2994059	112	379101	3017929	2903081	32.81	32.73	242255	242255	62510	89249	99	83	65 + 8 part	81039	90.558	1.119	2.22	868.43	54.94	2476 + 58 part	187515	56179	56331	33070	34596
S_aureus_HiSeq_msrca-sga_mix	33	30	2885637	2883860	33	449789	2885637	2903081	32.84	32.73	243399	243399	174868	174868	79	79	4 + 4 part	90119	90.354	1.067	0.00	889.39	54.14	2473 + 54 part	187458	70865	70865	35824	34865
S_aureus_HiSeq_msrca-soap_mix	34	31	2888000	2886223	34	449789	2888000	2903081	32.84	32.73	228674	228674	174868	174868	78	80	5 + 4 part	93451	90.403	1.067	0.00	889.90	55.52	2474 + 54 part	187458	70865	70865	36614	34865
S_aureus_HiSeq_msrca-spades_mix	30	28	2854722	2853927	30	558082	2854722	2903081	32.84	32.73	246762	246762	174868	174868	83	79	5 + 3 part	64840	90.395	1.065	0.42	886.43	65.70	2475 + 53 part	187458	68736	68736	36523	34865
S_aureus_HiSeq_msrca-velvet_mix	34	32	3046753	3045342	34	449789	3046753	2903081	32.85	32.73	221821	221821	174868	175306	81	85	4 + 4 part	93085	90.467	1.126	0.00	888.70	61.50	2474 + 54 part	187458	82135	87161	36615	39557
S_aureus_HiSeq_sga-soap_mix	150	43	2839774	2820172	64	364183	2827733	2903081	32.71	32.73	172724	159642	105387	95780	76	81	17 + 9 part	67567	90.066	1.056	0.00	864.40	57.61	2453 + 53 part	187397	70865	70865	33070	30431
S_aureus_HiSeq_sga-spades_mix	58	35	2876458	2868677	57	350174	2876362	2903081	32.68	32.73	187080	187080	105739	105739	92	82	25 + 4 part	31522	90.430	1.085	1.43	870.51	53.71	2474 + 54 part	187456	70865	70865	34865	34865
S_aureus_HiSeq_sga-velvet_mix	63	50	2830298	2825786	61	349783	2829942	2903081	32.73	32.73	157559	157559	64578	64578	76	81	13 + 6 part	65660	90.221	1.054	0.00	873.91	56.17	2466 + 58 part	187397	63145	60867	33895	33070
S_aureus_HiSeq_soap-spades_mix	55	33	2875186	2868377	54	350174	2875090	2903081	32.68	32.73	220323	220323	122608	122608	92	82	25 + 3 part	30118	90.416	1.085	1.36	869.84	60.20	2475 + 52 part	187456	70865	70865	34865	34865
S_aureus_HiSeq_soap-velvet_mix	149	44	2974706	2955403	65	364183	2962964	2903081	32.70	32.73	169908	169908	95780	95780	76	83	18 + 7 part	65829	90.217	1.107	0.00	871.47	52.66	2461 + 54 part	187397	82023	82023	34865	35824
S_aureus_HiSeq_spades-velvet_mix	57	35	3031891	3025082	56	350174	3031795	2903081	32.69	32.73	211477	211477	122608	156168	94	87	25 + 4 part	31522	90.416	1.144	1.22	870.11	53.84	2476 + 51 part	187456	82023	87161	35824	38728
