Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
X_axonopodis_HiSeq_abyss-cabog_mix	92	86	4859256	4858730	86	312406	4858730	4967469	65.17	64.92	115585	115585	63030	55276	31	65	36 + 16 part	1248906	20.052	3.624	0.00	4162.15	150.34	791 + 78 part	46286	None	None	None	None
X_axonopodis_HiSeq_abyss-mira_mix	448	121	4946913	4900712	159	387781	4919088	4967469	65.08	64.92	94163	93391	50268	47805	31	58	101 + 24 part	1774291	20.749	3.051	1.81	4153.49	134.74	817 + 79 part	46289	None	None	None	None
X_axonopodis_HiSeq_abyss-msrca_mix	133	101	4942299	4922356	133	388418	4942299	4967469	65.06	64.92	118649	117883	61875	61875	25	61	87 + 16 part	1334328	20.068	3.620	0.00	4258.15	146.11	796 + 69 part	46289	None	None	None	None
X_axonopodis_HiSeq_abyss-soap_mix	535	124	4992305	4937671	163	199307	4956753	4967469	65.09	64.92	94163	94163	50268	50268	26	61	101 + 24 part	1547341	20.625	3.328	0.91	4151.43	153.09	818 + 76 part	46289	None	None	None	None
X_axonopodis_HiSeq_abyss-spades_mix	158	114	5076529	5052285	156	312376	5076348	4967469	65.05	64.92	118249	118249	63971	66284	33	68	108 + 15 part	1318178	20.551	3.682	3.27	4161.34	137.65	815 + 76 part	46289	None	None	None	None
X_axonopodis_HiSeq_abyss-velvet_mix	553	122	4995787	4940031	160	349963	4958063	4967469	65.09	64.92	98925	98925	50268	50268	29	59	103 + 22 part	1700810	20.729	3.163	1.07	4148.95	145.29	819 + 78 part	46289	None	None	None	None
X_axonopodis_HiSeq_cabog-mira_mix	95	89	4839780	4839254	89	312406	4839254	4967469	65.19	64.92	107676	105803	55276	52143	27	66	38 + 17 part	1333570	19.855	3.554	0.10	4180.78	145.06	783 + 78 part	46286	None	None	None	None
X_axonopodis_HiSeq_cabog-msrca_mix	132	97	4923682	4900944	132	387851	4923682	4967469	65.08	64.92	118649	117883	61875	61875	25	61	86 + 16 part	1316967	20.064	3.619	0.00	4256.93	151.58	795 + 70 part	46289	None	None	None	None
X_axonopodis_HiSeq_cabog-soap_mix	92	86	4835698	4835172	86	312406	4835172	4967469	65.19	64.92	115585	105803	63030	62099	27	66	36 + 16 part	1275373	19.624	3.652	0.00	4181.86	150.87	775 + 77 part	46286	None	None	None	None
X_axonopodis_HiSeq_cabog-spades_mix	92	86	4844646	4844120	86	312406	4844120	4967469	65.17	64.92	115585	107676	63030	58882	29	65	37 + 15 part	1215536	20.582	3.549	0.72	4185.17	153.01	816 + 76 part	46286	None	None	None	None
X_axonopodis_HiSeq_cabog-velvet_mix	89	83	4842591	4842065	83	312406	4842065	4967469	65.19	64.92	115818	115818	63976	62082	27	66	34 + 16 part	1266745	19.919	3.613	0.00	4181.80	157.35	786 + 77 part	46286	None	None	None	None
X_axonopodis_HiSeq_mira-msrca_mix	123	98	4901709	4884950	123	388007	4901709	4967469	65.06	64.92	118766	118619	62417	61875	25	61	78 + 15 part	1303488	19.849	3.650	0.69	4245.61	145.58	784 + 70 part	46289	None	None	None	None
X_axonopodis_HiSeq_mira-soap_mix	380	138	4947573	4898350	178	387781	4916001	4967469	65.10	64.92	80095	80095	41329	41138	22	61	106 + 29 part	1852987	20.500	3.007	0.24	4141.09	135.58	808 + 87 part	41918	None	None	None	None
X_axonopodis_HiSeq_mira-spades_mix	141	108	4965341	4945996	139	387794	4965160	4967469	65.04	64.92	118249	118249	63036	63036	30	65	94 + 13 part	1313956	20.505	3.586	3.69	4189.36	142.84	812 + 74 part	46289	None	None	None	None
X_axonopodis_HiSeq_mira-velvet_mix	216	130	4909306	4880328	191	350067	4905319	4967469	65.10	64.92	85407	83025	42124	41763	24	57	126 + 22 part	1688677	19.991	3.238	0.10	4136.36	144.09	788 + 81 part	46289	None	None	None	None
X_axonopodis_HiSeq_msrca-soap_mix	132	99	4924194	4903317	132	322669	4924194	4967469	65.08	64.92	117883	117883	61875	61875	24	61	85 + 16 part	1316913	20.064	3.620	0.00	4257.50	146.13	795 + 70 part	46289	None	None	None	None
X_axonopodis_HiSeq_msrca-spades_mix	125	98	4922238	4904379	125	322669	4922238	4967469	65.06	64.92	117883	117883	62417	62417	25	61	79 + 15 part	1301929	20.067	3.632	1.02	4253.49	146.42	796 + 69 part	46289	None	None	None	None
