Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
A_hydrophila_HiSeq_abyss-cabog_mix	42	41	4996593	4995645	42	710684	4996593	4744448	61.63	61.55	278382	301342	156215	189722	32	22	14 + 16 part	2341593	14.154	3.954	0.00	4193.11	195.45	582 + 64 part	52397	None	None	None	None
A_hydrophila_HiSeq_abyss-mira_mix	50	33	5154593	5149648	43	820562	5153503	4744448	61.57	61.55	339240	339240	159245	237457	36	27	12 + 13 part	2130660	14.756	4.309	2.41	4166.54	195.37	597 + 63 part	52419	None	None	None	None
A_hydrophila_HiSeq_abyss-msrca_mix	23	22	5110337	5109640	23	1124684	5110337	4744448	61.63	61.55	828647	828647	245339	301891	51	29	0 + 10 part	1774953	13.767	5.107	0.00	4157.30	179.10	568 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_abyss-sga_mix	57	40	4919215	4914270	50	822919	4918125	4744448	61.56	61.55	244971	244971	128961	132745	34	26	14 + 17 part	2034406	14.644	4.142	1.85	4150.38	202.50	591 + 65 part	52419	None	None	None	None
A_hydrophila_HiSeq_abyss-soap_mix	71	28	4895056	4885014	43	693478	4891047	4744448	61.60	61.55	289662	301462	165019	166323	52	32	9 + 10 part	1307537	14.721	5.124	1.84	4178.62	174.51	602 + 63 part	52419	None	None	None	None
A_hydrophila_HiSeq_abyss-spades_mix	278	30	4988675	4912724	277	655567	4988579	4744448	61.56	61.55	380207	380207	137987	162682	38	29	247 + 13 part	2302796	14.966	3.782	1.32	4203.48	202.65	612 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_abyss-velvet_mix	52	36	4912866	4908116	46	820443	4911971	4744448	61.57	61.55	291113	291113	159245	167153	36	26	14 + 16 part	2147676	14.593	3.984	1.85	4166.75	196.73	592 + 64 part	52419	None	None	None	None
A_hydrophila_HiSeq_cabog-mira_mix	31	31	5163956	5163956	31	741423	5163956	4744448	61.53	61.55	326376	336775	207147	263263	39	25	6 + 12 part	1924667	14.525	4.700	0.50	4232.35	186.57	597 + 64 part	52397	None	None	None	None
A_hydrophila_HiSeq_cabog-msrca_mix	23	21	4905464	4904454	23	1124684	4905464	4744448	61.63	61.55	828647	828647	245339	301891	48	26	1 + 9 part	1736730	13.665	4.888	0.00	4187.27	175.96	565 + 65 part	52419	None	None	None	None
A_hydrophila_HiSeq_cabog-sga_mix	30	29	4881374	4880426	30	740893	4881374	4744448	61.61	61.55	301342	301342	189722	189722	44	25	8 + 11 part	1667521	14.456	4.686	0.00	4228.26	198.84	596 + 60 part	52397	None	None	None	None
A_hydrophila_HiSeq_cabog-soap_mix	26	26	5024325	5024325	26	862160	5024325	4744448	61.60	61.55	495215	495215	230837	263263	37	25	5 + 10 part	2122805	13.746	4.449	0.00	4199.60	188.85	562 + 61 part	52397	None	None	None	None
A_hydrophila_HiSeq_cabog-spades_mix	276	27	4985036	4908627	275	979676	4984940	4744448	61.57	61.55	491198	491198	137987	162682	31	23	247 + 11 part	2458735	14.992	3.550	1.32	4175.69	207.34	612 + 61 part	52419	None	None	None	None
A_hydrophila_HiSeq_cabog-velvet_mix	33	33	5118494	5118494	33	710684	5118494	4744448	61.62	61.55	301342	326376	168909	230837	43	32	9 + 13 part	1800988	14.615	4.785	0.00	4231.22	191.48	600 + 62 part	52397	None	None	None	None
A_hydrophila_HiSeq_mira-msrca_mix	23	21	4984366	4983283	23	1124684	4984366	4744448	61.60	61.55	862315	862315	245339	245339	52	29	1 + 9 part	1600003	14.088	5.064	0.20	4169.05	190.11	578 + 67 part	52419	None	None	None	None
A_hydrophila_HiSeq_mira-sga_mix	1019	42	5188137	4905799	895	590743	5172824	4744448	61.61	61.55	301469	336371	137773	189760	38	27	856 + 18 part	2249178	14.607	4.218	4.33	4185.89	177.33	599 + 65 part	52419	None	None	None	None
A_hydrophila_HiSeq_mira-soap_mix	63	28	5105787	5097529	42	942060	5102922	4744448	61.63	61.55	393508	393508	166323	215302	45	32	10 + 12 part	1972454	14.778	4.461	0.61	4149.73	182.98	605 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_mira-spades_mix	278	32	5311109	5236835	277	656299	5311013	4744448	61.53	61.55	379681	379681	162682	167006	35	29	245 + 14 part	2625577	15.003	3.771	1.34	4207.52	191.49	612 + 61 part	52419	None	None	None	None
A_hydrophila_HiSeq_mira-velvet_mix	1019	41	5207941	4925445	894	803954	5192470	4744448	61.59	61.55	336331	393856	137773	189760	45	30	856 + 19 part	2295561	15.011	4.067	3.95	4170.07	170.00	617 + 66 part	52419	None	None	None	None
A_hydrophila_HiSeq_msrca-sga_mix	23	21	4907802	4906792	23	1124684	4907802	4744448	61.62	61.55	862315	862315	245339	245339	52	29	1 + 10 part	1580937	13.679	5.127	0.00	4175.18	177.86	565 + 65 part	52419	None	None	None	None
A_hydrophila_HiSeq_msrca-soap_mix	21	19	4905542	4904532	21	2027059	4905542	4744448	61.62	61.55	862315	862315	301891	301891	50	27	1 + 10 part	1790982	18.402	3.567	0.00	4179.92	170.73	772 + 60 part	52419	None	None	None	None
A_hydrophila_HiSeq_msrca-spades_mix	21	19	5056018	5055008	21	2027070	5056018	4744448	61.65	61.55	862315	862315	262740	301891	51	26	1 + 11 part	1927755	13.759	4.792	0.38	4173.19	168.30	569 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_msrca-velvet_mix	24	22	4927489	4926479	24	1124684	4927489	4744448	61.60	61.55	829683	829683	235264	245339	52	28	1 + 10 part	1580937	13.682	5.158	0.00	4160.89	182.18	564 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_sga-soap_mix	73	27	4895624	4884378	45	656758	4891615	4744448	61.60	61.55	370374	370374	189575	230204	39	24	11 + 9 part	1977347	14.565	4.209	0.00	4202.70	187.16	598 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_sga-spades_mix	279	30	4985527	4909118	278	592124	4985431	4744448	61.57	61.55	379681	379681	137987	159055	39	29	247 + 11 part	2034475	15.075	4.124	1.32	4204.76	185.93	616 + 61 part	52419	None	None	None	None
A_hydrophila_HiSeq_sga-velvet_mix	68	43	4890539	4884927	53	590372	4888342	4744448	61.60	61.55	189558	245687	104748	112604	34	28	11 + 18 part	2004762	14.735	4.118	0.00	4195.01	205.66	604 + 61 part	52419	None	None	None	None
A_hydrophila_HiSeq_soap-spades_mix	52	28	5074576	5068883	39	830055	5072738	4744448	61.60	61.55	497003	497003	166323	243851	38	22	9 + 16 part	2455610	14.558	3.787	0.43	4194.13	190.55	596 + 61 part	52419	None	None	None	None
A_hydrophila_HiSeq_soap-velvet_mix	66	27	4895449	4886467	42	656722	4892076	4744448	61.60	61.55	406597	406597	230186	243851	39	24	11 + 9 part	1973620	14.731	4.167	0.00	4202.41	185.18	606 + 62 part	52419	None	None	None	None
A_hydrophila_HiSeq_spades-velvet_mix	273	25	4980931	4905438	272	829965	4980835	4744448	61.58	61.55	491198	496986	137987	162682	40	29	244 + 10 part	2032953	15.018	4.135	1.02	4206.66	205.08	612 + 61 part	52419	None	None	None	None
