All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   M_abscessus_AB_SP_mix  M_abscessus_AB_MS_mix  M_abscessus_MS_SP_mix  M_abscessus_SP_SPD_mix  M_abscessus_AB_MS_SP_mix  abyss_ctg       soap_ctg        msrca_ctg       GAM_abyss-msrca  GAM_msrca-abyss  GAM_msrca-spades
# contigs (>= 0 bp)        121                    55                     57                     80                      57                        147             143             66              89               47               66              
# contigs (>= 1000 bp)     62                     52                     51                     50                      52                        87              65              57              55               42               57              
Total length (>= 0 bp)     5308260                5317117                5222049                5136490                 5320766                   5134453         5150322         5146013         5135574          5141961          5146013         
Total length (>= 1000 bp)  5292937                5315590                5218248                5122774                 5317684                   5116313         5131712         5140375         5129363          5139290          5140375         
# contigs                  85                     55                     57                     80                      57                        124             91              66              68               47               66              
Largest contig             474277                 375149                 376672                 814680                  401348                    610290          474277          375149          1072233          1071911          375149          
Total length               5302637                5317117                5222049                5136490                 5320766                   5132153         5142390         5146013         5133611          5141961          5146013         
Reference length           5090491                5090491                5090491                5090491                 5090491                   5090491         5090491         5090491         5090491          5090491          5090491         
GC (%)                     64.06                  64.14                  64.14                  64.10                   64.12                     64.10           64.09           64.13           64.11            64.13            64.13           
Reference GC (%)           64.15                  64.15                  64.15                  64.15                   64.15                     64.15           64.15           64.15           64.15            64.15            64.15           
N50                        150256                 246830                 247798                 259782                  247798                    119446          148639          246830          221021           247798           246830          
NG50                       165307                 247798                 247798                 259782                  247798                    119446          148639          246830          221021           247798           246830          
N75                        95162                  146410                 122899                 113838                  122899                    63630           88169           110872          111763           149697           110872          
NG75                       108211                 147416                 147416                 113838                  147416                    68977           88169           110872          111763           149697           110872          
# misassemblies            13                     11                     11                     8                       13                        7               10              7               8                7                7               
# local misassemblies      18                     2                      4                      9                       6                         8               17              2               6                2                2               
# unaligned contigs        3 + 0 part             0 + 0 part             0 + 0 part             7 + 0 part              0 + 0 part                0 + 1 part      3 + 0 part      0 + 1 part      0 + 0 part       0 + 1 part       0 + 1 part      
Unaligned contigs length   5800                   0                      0                      1888                    0                         82              5800            102             0                102              102             
Genome fraction (%)        99.233                 99.338                 99.377                 99.246                  97.999                    99.188          99.247          99.348          99.254           99.340           99.348          
Duplication ratio          1.062                  1.052                  1.037                  1.030                   1.071                     1.032           1.026           1.018           1.022            1.017            1.018           
# N's per 100 kbp          0.21                   0.26                   0.00                   0.00                    0.32                      12.12           0.00            0.00            10.66            1.94             0.00            
# mismatches per 100 kbp   2.24                   47.26                  45.76                  1.44                    45.54                     3.80            1.76            49.65           17.89            40.86            49.65           
# indels per 100 kbp       1.37                   6.29                   5.97                   1.74                    5.73                      2.22            1.25            6.53            3.48             6.43             6.53            
# genes                    4891 + 71 part         4913 + 53 part         4913 + 54 part         4901 + 58 part          4845 + 53 part            4875 + 87 part  4888 + 74 part  4910 + 56 part  4907 + 56 part   4919 + 47 part   4910 + 56 part  
Largest alignment          474277                 309535                 333876                 814568                  309403                    610150          474277          309535          861792           861692           309535          
NA50                       147199                 187340                 187340                 220137                  187340                    111763          147199          187809          210331           222027           187809          
NGA50                      147199                 187809                 187809                 220137                  187809                    115738          147199          187809          214793           222027           187809          
NA75                       75472                  88132                  88132                  89797                   87474                     63561           75472           88132           86291            147416           88132           
NGA75                      79786                  110872                 89797                  94999                   89797                     63561           75472           88132           86291            147416           88132           
