Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
A.hydrophila_abyss-spades.gam	156	40	4983086	4967716	60	656194	4973779	4744448	61.53	61.55	292492	292492	158847	159245	28	24	18 + 17 part	2291606	14.603	3.845	1.89	4147.64	208.16	593 + 63 part	52419	None	None	None	None
A.hydrophila_cabog-soap.gam	97	66	5010907	4996691	89	710684	5010101	4744448	61.60	61.55	301342	301342	189722	230837	42	25	40 + 15 part	1734115	14.744	4.683	0.00	4222.97	186.89	596 + 71 part	52397	None	None	None	None
A.hydrophila_spades-msrca.gam	319	25	5011037	4924300	293	1186974	5007587	4744448	61.57	61.55	592124	592124	249487	491198	39	22	263 + 9 part	2317139	14.216	3.970	1.78	4164.79	181.58	578 + 61 part	52419	None	None	None	None
A.hydrophila_spades-velvet.gam	337	36	5011531	4922912	310	592124	5007922	4744448	61.55	61.55	379681	379681	129901	137987	36	29	271 + 12 part	2121700	15.084	4.015	2.14	4203.16	204.78	616 + 62 part	52419	None	None	None	None
A.hydrophila_sga-spades.gam	1854	67	5169994	4952877	109	590688	4967266	4744448	61.60	61.55	128863	130140	67129	78272	33	23	44 + 23 part	2323827	14.811	3.755	0.24	4203.98	174.06	609 + 63 part	52419	None	None	None	None
A.hydrophila_abyss-mira.gam	163	45	4981047	4965231	65	822917	4971503	4744448	61.53	61.55	244971	244971	121603	122207	34	25	21 + 18 part	2062353	14.888	4.097	2.09	4138.97	204.18	602 + 65 part	52419	None	None	None	None
A.hydrophila_abyss-soap.gam	159	43	4983311	4967964	62	693476	4973974	4744448	61.53	61.55	279895	279895	122207	137136	45	29	17 + 18 part	1319153	14.884	5.150	1.83	4156.74	199.53	602 + 66 part	52419	None	None	None	None
A.hydrophila_msrca-spades.gam	26	19	4913959	4910738	26	2027068	4913959	4744448	61.61	61.55	862315	862315	491498	491498	45	23	5 + 10 part	2001769	18.141	3.381	0.14	4199.58	182.80	755 + 64 part	52419	None	None	None	None
A.hydrophila_msrca-cabog.gam	29	22	4914936	4911715	29	1124684	4914936	4744448	61.61	61.55	862315	862315	245339	245339	53	29	5 + 10 part	1523645	13.690	5.219	0.00	4175.19	177.68	565 + 66 part	52419	None	None	None	None
A.hydrophila_msrca-soap.gam	29	22	4914985	4911764	29	2027056	4914985	4744448	61.61	61.55	862315	862315	245339	245339	53	29	5 + 12 part	1585434	18.051	3.886	0.00	4174.16	169.57	756 + 62 part	52419	None	None	None	None
A.hydrophila_sga-mira.gam	1786	63	5163831	4957898	97	301267	4970456	4744448	61.60	61.55	133785	138171	79176	87057	32	26	31 + 22 part	1969622	15.215	4.148	1.37	4230.21	196.46	626 + 63 part	52419	None	None	None	None
A.hydrophila_cabog-abyss.gam	99	68	5009206	4994990	91	710684	5008400	4744448	61.60	61.55	278382	301342	156215	189722	42	25	41 + 17 part	1735190	14.684	4.698	0.00	4219.02	184.95	596 + 70 part	52397	None	None	None	None
A.hydrophila_velvet-sga.gam	95	43	4895947	4884974	57	590370	4890112	4744448	61.60	61.55	189574	245687	104748	112604	36	28	14 + 18 part	2006387	14.742	4.116	0.00	4193.33	195.36	607 + 61 part	52419	None	None	None	None
A.hydrophila_velvet-msrca.gam	79	35	5295521	5285294	46	629858	5290525	4744448	61.61	61.55	397344	397344	181978	189574	36	28	12 + 13 part	2292923	14.840	4.252	0.00	4196.08	203.20	607 + 61 part	52419	None	None	None	None
A.hydrophila_spades-cabog.gam	331	33	5010668	4923391	304	820683	5007059	4744448	61.55	61.55	491198	491198	137987	159055	35	29	267 + 12 part	2306798	15.002	3.776	2.00	4191.07	205.69	612 + 62 part	52419	None	None	None	None
A.hydrophila_abyss-msrca.gam	151	42	5023946	5009642	59	904428	5015168	4744448	61.55	61.55	244093	244971	132745	159245	44	33	18 + 16 part	1513727	14.846	4.950	1.81	4172.72	206.71	604 + 64 part	52419	None	None	None	None
A.hydrophila_msrca-abyss.gam	28	21	4914554	4911333	28	1124684	4914554	4744448	61.61	61.55	862315	862315	301891	301891	50	26	5 + 10 part	1735608	13.678	4.895	0.00	4184.95	174.61	563 + 66 part	52419	None	None	None	None
A.hydrophila_mira-cabog.gam	1295	50	5562117	5219277	1030	525139	5529968	4744448	61.62	61.55	277700	284599	137773	237750	41	32	948 + 32 part	2456596	15.023	4.309	7.29	4157.76	192.26	623 + 75 part	52419	None	None	None	None
A.hydrophila_mira-msrca.gam	1302	51	5266941	4920272	1037	820675	5234792	4744448	61.63	61.55	246249	252634	129057	157097	38	28	957 + 29 part	2559496	14.977	3.761	7.91	4145.65	174.35	621 + 75 part	52419	None	None	None	None
A.hydrophila_spades-sga.gam	337	36	5011563	4922944	310	592124	5007954	4744448	61.55	61.55	379681	379681	129901	159055	39	29	272 + 11 part	2044990	15.084	4.122	2.14	4201.98	185.79	616 + 62 part	52419	None	None	None	None
A.hydrophila_cabog-mira.gam	101	70	5009632	4995416	93	710684	5008826	4744448	61.60	61.55	278382	278382	133236	156215	40	26	40 + 18 part	1826953	14.953	4.485	0.02	4228.91	199.84	607 + 73 part	52397	None	None	None	None
A.hydrophila_sga-cabog.gam	1954	82	5174794	4943700	130	422266	4961355	4744448	61.60	61.55	114766	114766	57951	68916	36	28	61 + 29 part	2012799	14.961	4.148	0.00	4230.15	195.66	613 + 68 part	52397	None	None	None	None
A.hydrophila_soap-spades.gam	200	26	4914902	4885456	51	941930	4894723	4744448	61.60	61.55	301462	301462	189608	189608	42	28	15 + 12 part	1933472	14.571	4.275	0.02	4169.39	189.63	599 + 61 part	52419	None	None	None	None
A.hydrophila_msrca-sga.gam	30	23	4915082	4911861	30	1124684	4915082	4744448	61.61	61.55	828647	828647	245339	301891	48	26	5 + 11 part	1743097	13.677	4.885	0.00	4185.31	174.80	562 + 66 part	52419	None	None	None	None
A.hydrophila_velvet-abyss.gam	81	35	5293537	5284513	47	611988	5288317	4744448	61.61	61.55	268490	301388	137373	169105	36	26	13 + 17 part	2390342	14.564	4.193	0.00	4169.71	199.60	591 + 61 part	52419	None	None	None	None
A.hydrophila_spades-mira.gam	331	32	5007996	4919631	306	592124	5004691	4744448	61.56	61.55	381460	381460	137987	230049	37	26	270 + 11 part	2185955	15.084	3.925	2.26	4204.42	184.17	616 + 62 part	52419	None	None	None	None
A.hydrophila_soap-velvet.gam	187	28	4913800	4888945	50	859720	4895533	4744448	61.60	61.55	495215	495215	189608	243851	35	22	18 + 10 part	2461695	14.577	3.509	0.00	4188.26	192.07	602 + 61 part	52419	None	None	None	None
A.hydrophila_soap-sga.gam	208	31	4915075	4885253	56	629483	4894546	4744448	61.60	61.55	243851	243851	166323	169415	41	27	18 + 11 part	1933490	14.713	4.234	0.00	4165.11	189.66	604 + 63 part	52419	None	None	None	None
A.hydrophila_velvet-spades.gam	88	40	4895903	4885619	52	590514	4890401	4744448	61.60	61.55	184389	245687	119131	122035	29	29	11 + 17 part	2146908	15.052	3.835	0.04	4223.01	194.66	619 + 62 part	52419	None	None	None	None
A.hydrophila_abyss-sga.gam	168	46	4985465	4967754	69	822917	4975736	4744448	61.53	61.55	268392	268392	122207	159245	34	26	23 + 19 part	2070761	14.759	4.123	1.83	4135.48	206.11	600 + 65 part	52419	None	None	None	None
A.hydrophila_sga-soap.gam	1814	65	5163583	4950306	107	629643	4966344	4744448	61.59	61.55	230086	230086	72540	79121	28	23	46 + 26 part	2227888	14.885	3.870	0.00	4207.76	189.85	613 + 67 part	52419	None	None	None	None
A.hydrophila_soap-abyss.gam	205	29	4915441	4887180	53	693379	4894956	4744448	61.60	61.55	289528	301462	165019	166323	51	33	16 + 11 part	1309663	14.753	5.116	1.84	4175.91	177.17	605 + 64 part	52419	None	None	None	None
A.hydrophila_mira-sga.gam	1300	56	5317502	4974671	1035	550015	5285353	4744448	61.63	61.55	244066	246249	122385	140806	44	34	951 + 30 part	2073994	15.010	4.506	7.98	4162.33	164.28	623 + 75 part	52419	None	None	None	None
A.hydrophila_mira-soap.gam	1301	51	5274530	4928469	1037	820672	5242572	4744448	61.63	61.55	255418	255418	129057	189760	37	29	956 + 29 part	2698896	14.969	3.578	8.03	4138.48	170.78	619 + 76 part	52419	None	None	None	None
A.hydrophila_velvet-cabog.gam	91	47	5041415	5032783	57	611989	5036248	4744448	61.54	61.55	180361	184389	112934	122035	34	28	13 + 21 part	2179837	14.648	4.103	0.00	4197.23	195.51	601 + 61 part	52419	None	None	None	None
A.hydrophila_soap-msrca.gam	201	24	4915622	4887082	48	1600445	4894960	4744448	61.61	61.55	859720	859720	215302	244401	48	31	18 + 9 part	1941385	14.544	4.274	0.00	4155.02	182.16	598 + 61 part	52419	None	None	None	None
A.hydrophila_velvet-soap.gam	81	38	4968771	4960074	51	656395	4964125	4744448	61.59	61.55	268490	268490	128840	137748	36	28	13 + 15 part	2004375	14.676	4.245	0.00	4190.77	195.14	602 + 61 part	52419	None	None	None	None
A.hydrophila_sga-msrca.gam	1881	73	5101968	4881493	118	578367	4896984	4744448	61.63	61.55	126729	129151	72130	72540	33	28	48 + 26 part	1931596	14.619	4.268	0.00	4237.47	168.66	603 + 63 part	52419	None	None	None	None
