Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
M.abscessus_MiSeq_cabog-spades.gam	162	162	5120595	5120595	162	286101	5120595	5090491	64.10	64.15	76488	79927	35870	35870	78	5	0 + 2 part	12029	98.471	1.020	0.06	10.37	3.83	4773 + 167 part	286101	67952	67952	31926	31926
M.abscessus_MiSeq_velvet-sga.gam	229	139	5162893	5132012	224	255120	5161928	5090491	64.03	64.15	67217	70983	35337	38667	65	3	52 + 3 part	21178	98.970	1.026	0.00	9.65	4.05	4786 + 163 part	156663	58046	58431	27979	28994
M.abscessus_velvet-cabog.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_velvet-velvet.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_msrca-spades.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_MiSeq_cabog-msrca.gam	236	236	5109919	5109919	236	145204	5109919	5090491	64.10	64.15	43403	44307	23058	23058	80	4	1 + 6 part	64413	98.093	1.011	0.00	8.91	2.78	4696 + 233 part	145204	41820	41820	20071	20757
M.abscessus_MiSeq_mira-spades.gam	2160	96	5921657	5167144	1753	279306	5858641	5090491	64.08	64.15	88104	118576	37104	61158	2358	37	78 + 122 part	33646	99.429	1.157	5.89	4.54	0.81	4873 + 94 part	257874	67756	79853	28417	42986
M.abscessus_abyss-spades.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_msrca-abyss.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_sga-abyss.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_mira-cabog.gam	2139	80	5917334	5165498	1732	424264	5854318	5090491	64.08	64.15	114083	164288	47383	67840	2357	38	78 + 122 part	33646	99.429	1.156	5.67	4.62	0.97	4884 + 83 part	424264	74997	92442	32667	49406
M.abscessus_MiSeq_abyss-cabog.gam	228	65	5153121	5124320	111	261543	5138773	5090491	64.10	64.15	131272	131272	79677	79677	6	3	11 + 2 part	5791	99.236	1.020	4.24	3.60	1.76	4895 + 64 part	261543	127431	127431	71180	73591
M.abscessus_MiSeq_sga-abyss.gam	649	106	5269750	5124084	536	248291	5250121	5090491	64.08	64.15	86320	87496	50504	51194	182	5	3 + 13 part	7291	99.332	1.039	2.63	1.80	0.95	4860 + 107 part	245755	79849	81694	45286	49419
