Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
R_sphaeroides_HiSeq_abyss-cabog_mix	751	308	4572519	4508716	385	95868	4545639	4603060	68.75	68.79	26368	26003	12540	12341	79	7	0 + 1 part	27	98.205	1.015	0.18	16.92	7.92	3987 + 318 part	76448	19914	19828	10857	10506
R_sphaeroides_HiSeq_abyss-mira_mix	850	235	4635317	4426075	697	132694	4613143	4603060	68.76	68.79	37327	37327	19802	19802	99	14	0 + 7 part	993	98.862	1.014	4.12	19.38	7.98	3979 + 358 part	132694	26002	26002	13007	13091
R_sphaeroides_HiSeq_abyss-msrca_mix	70	64	4484151	4480256	70	461810	4484151	4603060	68.81	68.79	200886	198324	119429	119429	22	7	0 + 1 part	29	96.859	1.007	0.00	77.54	5.85	4200 + 53 part	461810	176783	176783	102004	76502
R_sphaeroides_HiSeq_abyss-sga_mix	929	339	4579006	4498043	437	82989	4542351	4603060	68.74	68.79	21337	21236	11247	10948	66	7	1 + 1 part	661	97.991	1.007	0.18	10.00	5.81	3979 + 320 part	75323	17907	17253	9910	9657
R_sphaeroides_HiSeq_abyss-soap_mix	548	220	4591721	4547199	274	134809	4571960	4603060	68.76	68.79	36076	35854	21477	21337	151	7	0 + 0 part	0	98.515	1.011	0.17	19.16	13.14	4024 + 302 part	74918	21518	21337	11326	11248
R_sphaeroides_HiSeq_abyss-spades_mix	253	120	4633874	4594111	249	291333	4633481	4603060	68.66	68.79	83463	83463	47313	47313	16	6	106 + 0 part	25600	98.885	1.020	9.17	8.66	4.11	4239 + 103 part	291332	83460	83460	40514	42137
R_sphaeroides_HiSeq_abyss-velvet_mix	804	282	4579077	4511254	360	103112	4546253	4603060	68.74	68.79	29201	28770	14209	13674	85	8	1 + 1 part	661	98.114	1.006	0.18	12.33	7.53	4009 + 307 part	87737	20786	20403	10807	10660
R_sphaeroides_HiSeq_cabog-mira_mix	1054	283	4659523	4398224	863	145253	4631433	4603060	68.77	68.79	36466	36886	15427	15771			863 + 0 part	4631433			4.88								
R_sphaeroides_HiSeq_cabog-msrca_mix	76	68	4482537	4477901	76	741457	4482537	4603060	68.84	68.79	198493	198493	104542	103447	14	5	0 + 1 part	29	96.744	1.007	0.00	81.22	5.23	4192 + 59 part	358962	196511	176783	103447	103447
R_sphaeroides_HiSeq_cabog-sga_mix	315	308	4283523	4280189	314	104875	4283403	4603060	68.88	68.79	21430	20116	12038	10349	109	12	0 + 2 part	78	92.109	1.011	0.00	23.75	8.33	3691 + 397 part	62230	17445	16208	9996	8100
