All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   rhodo_MS_SOAP_mix  rhodo_MI_MS_mix  rhodo_MI_SOAP_mix  rhodo_CBG_SOAP_mix  rhodo_MS_MI_SOAP_mix  rhodo_MS_CBG_SOAP_mix  soap_ctg         msrca_ctg       mira_ctg         cabog_ctg        spades_ctg       GAM_mira-msrca   GAM_msrca-soap  GAM_soap-msrca 
# contigs (>= 0 bp)        77                 78               637                275                 89                    71                     7436             130             1581             539              350              1581             104             6090           
# contigs (>= 1000 bp)     68                 72               229                271                 78                    65                     613              89              446              531              134              446              73              193            
Total length (>= 0 bp)     4467715            4472338          4612264            4297329             4515880               4339071                5220141          4489204         4725855          4216057          4670077          4725855          4483263         5174526        
Total length (>= 1000 bp)  4462469            4468897          4455394            4295086             4508296               4335672                4360313          4468382         4355336          4212622          4607692          4355336          4468349         4474396        
# contigs                  73                 75               319                274                 85                    68                     720              106             640              534              163              640              84              239            
Largest contig             460609             460231           145183             86522               460609                746081                 45522            358962          110511           41321            291333           110511           460229          460154         
Total length               4466046            4471162          4519451            4297209             4514211               4337895                4440636          4479673         4494266          4214745          4628908          4494266          4475279         4508752        
Reference length           4603060            4603060          4603060            4603060             4603060               4603060                4603060          4603060         4603060          4603060          4603060          4603060          4603060         4603060        
GC (%)                     68.86              68.86            68.83              68.94               68.85                 68.86                  68.88            68.87           68.89            68.94            68.83            68.89            68.87           68.87          
Reference GC (%)           68.79              68.79            68.79              68.79               68.79                 68.79                  68.79            68.79           68.79            68.79            68.79            68.79            68.79           68.79          
N50                        196511             198324           43469              28698               198324                215267                 11128            176783          18568            12421            74486            18568            198324          119209         
NG50                       196511             198324           43300              26970               198324                198493                 10600            176783          17743            11358            83463            17743            196511          119209         
N75                        114520             102273           22694              15946               114350                114520                 5955             102004          9191             7179             47310            9191             114347          26464          
NG75                       104542             79865            21528              12343               104542                103447                 5310             69776           8354             5447             47313            8354             104542          26095          
# misassemblies            11                 6                151                147                 24                    18                     3                4               10               4                8                10               4               6              
# local misassemblies      7                  8                20                 14                  10                    5                      10               5               5                3                5                5                5               7              
# unaligned contigs        0 + 1 part         0 + 2 part       0 + 4 part         0 + 1 part          0 + 1 part            0 + 1 part             1 + 10 part      0 + 1 part      0 + 4 part       0 + 10 part      0 + 0 part       0 + 4 part       0 + 2 part      0 + 2 part     
Unaligned contigs length   29                 77               230                34                  29                    29                     1113             29              758              360              0                758              1484            1383           
Genome fraction (%)        96.581             96.719           97.611             92.157              96.909                92.651                 96.226           96.969          96.867           90.817           99.043           96.867           96.953          97.905         
Duplication ratio          1.005              1.004            1.007              1.014               1.012                 1.018                  1.003            1.003           1.006            1.009            1.017            1.006            1.003           1.002          
# N's per 100 kbp          0.00               0.42             3.61               0.00                0.49                  0.00                   0.00             0.00            5.36             0.00             14.93            5.36             0.00            0.00           
# mismatches per 100 kbp   81.31              80.68            22.99              27.68               81.85                 81.81                  27.97            74.81           22.29            23.06            8.31             22.29            79.19           57.85          
# indels per 100 kbp       6.66               6.09             14.40              15.65               6.23                  6.31                   10.84            5.29            5.85             4.98             3.99             5.85             6.34            8.28           
# genes                    4182 + 54 part     4194 + 52 part   3947 + 371 part    3697 + 373 part     4187 + 70 part        4026 + 59 part         3654 + 645 part  4194 + 61 part  3811 + 495 part  3530 + 511 part  4244 + 103 part  3811 + 495 part  4201 + 52 part  4116 + 213 part
Largest alignment          460609             460231           98530              72325               460609                397888                 45511            358962          110511           41321            291332           110511           460229          460149         
NA50                       196511             198316           26446              17978               198316                198316                 11091            176783          18526            12360            74016            18526            198316          119209         
NGA50                      196511             198316           26002              16647               198316                176783                 10512            176783          17656            11217            83460            17656            196511          119209         
NA75                       114352             102004           12377              9524                102004                104542                 5900             102004          9183             7179             42417            9183             114179          26464          
NGA75                      104542             79858            12032              8016                83798                 83791                  5304             69769           8287             5447             42417            8287             104542          26095          
