All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   V_cholerae_AB_SP_mix  V_cholerae_AB_MS_mix  V_cholerae_MS_SP_mix  V_cholerae_MS_MI_mix  V_cholerae_AB_MS_SP_mix  V_cholerae_MI_MS_SP_mix  abyss_ctg       msrca_ctg       mira_ctg        soap_ctg        GAM_abyss-msrca  GAM_mira-msrca  GAM_msrca-abyss
# contigs (>= 0 bp)        131                   66                    65                    59                    65                       64                       338             105             2673            344             338              2629            88             
# contigs (>= 1000 bp)     73                    62                    62                    56                    62                       63                       121             80              115             81              121              100             64             
Total length (>= 0 bp)     4122934               3970535               3970308               4255903               4052740                  4584768                  4115424         3994617         4337203         3969747         4115424          4332400         3991187        
Total length (>= 1000 bp)  4101851               3967987               3968598               4253765               4050497                  4584407                  4065299         3980159         3932194         3919085         4065299          3939891         3977159        
# contigs                  110                   66                    65                    59                    65                       64                       206             105             733             139             206              689             88             
Largest contig             425556                555664                738392                739660                682673                   555664                   280277          555664          316666          425556          280277           355479          725017         
Total length               4120000               3970535               3970308               4255903               4052740                  4584768                  4104510         3994617         4113459         3945991         4104510          4108656         3991187        
Reference length           4033464               4033464               4033464               4033464               4033464                  4033464                  4033464         4033464         4033464         4033464         4033464          4033464         4033464        
GC (%)                     47.57                 47.57                 47.52                 47.54                 47.59                    47.60                    47.56           47.50           47.51           47.51           47.56            47.51           47.49          
Reference GC (%)           47.49                 47.49                 47.49                 47.49                 47.49                    47.49                    47.49           47.49           47.49           47.49           47.49            47.49           47.49          
N50                        170045                241604                324982                338755                324982                   338755                   94508           241604          89511           135118          94508            92000           356634         
NG50                       170045                241604                324982                338755                324982                   349553                   94508           241604          92000           125939          94508            92112           351459         
N75                        80998                 155274                118036                168663                157073                   136326                   58395           85155           51525           65780           58395            55736           118785         
NG75                       82359                 155274                118036                169834                157073                   171565                   59821           79323           55736           62739           59821            56477           118785         
# misassemblies            21                    12                    16                    25                    18                       29                       7               10              57              17              7                54              11             
# local misassemblies      52                    8                     9                     7                     11                       12                       18              5               12              50              18               11              6              
# unaligned contigs        6 + 2 part            0 + 2 part            0 + 2 part            0 + 3 part            0 + 2 part               0 + 2 part               2 + 0 part      0 + 5 part      46 + 71 part    6 + 1 part      2 + 0 part       46 + 66 part    0 + 5 part     
Unaligned contigs length   2140                  399                   399                   459                   399                      399                      974             453             15490           2076            974              15329           453            
Genome fraction (%)        95.794                95.943                97.954                98.076                96.188                   98.264                   97.509          98.176          97.998          97.135          97.509           98.017          98.168         
Duplication ratio          1.078                 1.037                 1.010                 1.082                 1.054                    1.163                    1.054           1.014           1.047           1.009           1.054            1.046           1.013          
# N's per 100 kbp          31.92                 14.08                 0.00                  0.70                  0.64                     0.57                     100.50          0.00            19.55           0.00            100.50           18.74           8.37           
# mismatches per 100 kbp   13.59                 65.74                 64.57                 59.46                 61.60                    62.29                    5.21            68.61           10.93           14.01           5.21             18.01           62.76          
# indels per 100 kbp       7.09                  8.04                  7.24                  7.10                  6.47                     6.74                     5.72            6.89            3.92            5.59            5.72             4.53            6.21           
# genes                    3479 + 47 part        3536 + 41 part        3617 + 44 part        3622 + 42 part        3538 + 46 part           3634 + 40 part           3540 + 55 part  3627 + 48 part  3578 + 68 part  3522 + 52 part  3540 + 55 part   3591 + 57 part  3632 + 41 part 
Largest alignment          425699                555664                555664                565971                526209                   555664                   246076          555664          193764          425699          246076           335429          725017         
NA50                       135761                236373                236373                171565                236373                   208902                   92996           236373          87069           112904          92996            89505           246505         
NGA50                      135761                236373                236373                204226                236373                   246505                   92996           236373          87069           112904          92996            89505           246505         
NA75                       66449                 89771                 79323                 89771                 79323                    136326                   52122           74254           48063           61176           52122            49911           109492         
NGA75                      71336                 79323                 74254                 109500                79323                    156463                   53661           74254           49911           60261           53661            52881           109492         
